sample_id,time_ms,distance_cm,delta_cm,abs_delta_cm,velocity_cm_s,moving_avg_cm,event
116,55123,397.42,0.00,0.00,0.00,397.42,0
117,55449,397.42,0.00,0.00,0.00,397.42,0
118,55775,397.42,0.00,0.00,0.00,397.42,0
119,56101,397.42,0.00,0.00,0.00,397.42,0
120,56427,397.42,0.00,0.00,0.00,397.42,0
121,56753,397.42,0.00,0.00,0.00,397.42,0
122,57079,397.42,0.00,0.00,0.00,397.42,0
123,57405,397.42,0.00,0.00,0.00,397.42,0
124,57731,397.42,0.00,0.00,0.00,397.42,0
125,58057,397.42,0.00,0.00,0.00,397.42,0
126,58383,397.42,0.00,0.00,0.00,397.42,0
127,58709,397.42,0.00,0.00,0.00,397.42,0
128,59035,397.42,0.00,0.00,0.00,397.42,0
129,59361,397.42,0.00,0.00,0.00,397.42,0
130,59687,397.42,0.00,0.00,0.00,397.42,0
131,60013,397.42,0.00,0.00,0.00,397.42,0
132,60339,397.42,0.00,0.00,0.00,397.42,0
133,60665,397.42,0.00,0.00,0.00,397.42,0
134,60991,397.42,0.00,0.00,0.00,397.42,0
135,61317,397.42,0.00,0.00,0.00,397.42,0
136,61643,397.42,0.00,0.00,0.00,397.42,0
137,61969,397.42,0.00,0.00,0.00,397.42,0
138,62295,397.42,0.00,0.00,0.00,397.42,0
139,62621,397.42,0.00,0.00,0.00,397.42,0
140,62947,397.42,0.00,0.00,0.00,397.42,0
141,63273,397.42,0.00,0.00,0.00,397.42,0
142,63599,397.42,0.00,0.00,0.00,397.42,0
143,63925,397.42,0.00,0.00,0.00,397.42,0
144,64251,397.42,0.00,0.00,0.00,397.42,0
145,64577,397.42,0.00,0.00,0.00,397.42,0
146,64903,397.42,0.00,0.00,0.00,397.42,0
147,65229,397.42,0.00,0.00,0.00,397.42,0
148,70400,399.42,2.01,2.01,0.39,397.82,0
149,70726,398.36,-1.06,1.06,-3.26,398.01,0
150,71052,398.36,0.00,0.00,0.00,398.20,0
151,71378,398.36,0.00,0.00,0.00,398.38,0
152,71704,398.36,0.00,0.00,0.00,398.57,0
153,72030,398.36,0.00,0.00,0.00,398.36,0
154,72356,398.36,0.00,0.00,0.00,398.36,0
155,72682,398.36,0.00,0.00,0.00,398.36,0
156,73008,398.36,0.00,0.00,0.00,398.36,0
157,73334,398.36,0.00,0.00,0.00,398.36,0
158,73660,398.36,0.00,0.00,0.00,398.36,0
159,73986,398.36,0.00,0.00,0.00,398.36,0
160,74312,398.36,0.00,0.00,0.00,398.36,0
