model,acc_mean,acc_std,bal_acc_mean,bal_acc_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,f1_macro_mean,f1_macro_std,train_time_mean,infer_time_mean
RandomForest,0.9906629318394025,0.011028022232509545,0.9906629318394025,0.011028022232509498,0.9908716227253471,0.01070702936008088,0.9906629318394025,0.011028022232509498,0.9906650400158015,0.011030177080226047,1.821339639998041,0.013423719990532846
MLP,0.9867413632119515,0.013293440728451492,0.9867413632119515,0.013293440728451419,0.9871004519239728,0.012855590768219252,0.9867413632119515,0.013293440728451419,0.9867458665294695,0.0132774561073159,1.0896088399924337,0.001973019994329661
KNN,0.9807656395891691,0.018646104076738224,0.9807656395891691,0.018646104076738158,0.9822192791545836,0.016221520940168724,0.9807656395891691,0.018646104076738158,0.9807366228051739,0.018738219638312487,0.005607239983510226,0.44326876000268384
LogisticRegression,0.9800186741363213,0.015534367389793044,0.9800186741363213,0.015534367389793044,0.9808144975929582,0.014484617005044383,0.9800186741363213,0.015534367389793044,0.9799774149637857,0.015580527963267277,0.03967114000115544,0.0013326199841685593
SVM,0.9800186741363213,0.009694377107314588,0.9800186741363213,0.009694377107314621,0.9805386234681599,0.009513574553195714,0.9800186741363213,0.009694377107314621,0.9799737282878679,0.00972256309715711,0.042682400008197875,0.02664102000417188
