sample_id,time_ms,distance_cm,delta_cm,abs_delta_cm,velocity_cm_s,moving_avg_cm,event
1274.0,424534.0,50.4,0.0,0.0,0.0,50.83,0
1901.0,615998.0,29.19,0.94,0.94,3.09,28.22,1
2726.0,871719.0,187.62,0.0,0.0,0.0,187.62,0
3361.0,1069406.0,86.71,0.0,0.0,0.0,87.14,0
1008.0,342444.0,119.02,0.0,0.0,0.0,119.59,0
3395.0,1079861.0,65.5,-1.06,1.06,-3.46,66.94,0
522.0,190715.0,197.64,0.0,0.0,0.0,198.27,0
1536.0,504745.0,63.49,0.0,0.0,0.0,63.91,0
1217.0,407091.0,58.43,-1.06,1.06,-3.47,59.89,0
1908.0,618133.0,30.25,0.0,0.0,0.0,30.25,1
2254.0,724678.0,109.93,71.67,71.67,234.98,52.6,1
2321.0,745607.0,31.2,-4.13,4.13,-13.55,40.1,1
3397.0,1080475.0,64.55,0.0,0.0,0.0,65.54,0
2830.0,904391.0,170.4,0.0,0.0,0.0,171.23,0
1683.0,549661.0,34.27,1.06,1.06,3.49,33.42,1
173.0,78550.0,390.35,-1.06,1.06,-3.26,392.19,0
713.0,250685.0,189.63,1.06,1.06,3.39,188.21,0
2719.0,869521.0,185.61,0.0,0.0,0.0,185.4,0
3253.0,1035907.0,163.34,-1.06,1.06,-3.41,164.8,0
1948.0,630333.0,33.2,0.0,0.0,0.0,33.01,1
3175.0,1011385.0,225.92,-1.06,1.06,-3.36,227.36,0
1018.0,345544.0,117.96,0.0,0.0,0.0,118.6,0
309.0,122707.0,354.99,0.0,0.0,0.0,354.99,0
3166.0,1008538.0,232.98,0.0,0.0,0.0,242.04,0
1670.0,545696.0,31.2,0.0,0.0,0.0,30.2,1
1892.0,613258.0,26.14,0.0,0.0,0.0,25.55,1
1915.0,620268.0,29.19,0.0,0.0,0.0,29.4,1
245.0,101969.0,369.14,-1.06,1.06,-3.28,369.99,0
3339.0,1062622.0,97.79,-1.06,1.06,-3.44,99.23,0
1972.0,637653.0,35.33,0.0,0.0,0.0,35.12,1
1895.0,614171.0,27.18,0.0,0.0,0.0,26.56,1
938.0,320777.0,106.86,0.94,0.94,3.05,105.09,0
808.0,280519.0,180.56,-9.07,9.07,-28.89,192.83,0
1942.0,628503.0,31.2,0.94,0.94,3.09,30.44,1
2255.0,724987.0,124.1,14.17,14.17,45.84,69.76,0
2422.0,776984.0,188.56,-1.06,1.06,-3.39,190.61,0
594.0,213319.0,189.63,-1.99,1.99,-6.34,192.66,0
937.0,320468.0,105.92,1.06,1.06,3.44,104.29,0
1692.0,552406.0,36.27,0.0,0.0,0.0,35.89,1
1579.0,517912.0,54.42,-1.06,1.06,-3.47,55.83,0
