time,ax,ay,az,gx,gy,gz,label
1632,-0.187,0.002,12.833,-0.002,0.040,-0.022,0
1656,-0.211,-0.041,12.883,0.052,0.009,-0.060,0
1680,-0.180,0.024,12.857,-0.017,-0.090,-0.007,0
1704,-0.180,-0.019,12.859,-0.093,0.001,0.062,0
1728,-0.192,-0.045,12.842,0.029,-0.037,-0.038,0
1752,-0.225,0.002,12.864,0.021,0.070,0.054,0
1776,-0.215,-0.024,12.869,-0.032,-0.006,-0.068,0
1800,-0.223,-0.014,12.835,0.006,-0.037,0.031,0
1824,-0.175,-0.057,12.780,-0.040,0.047,0.046,0
1848,-0.227,-0.002,12.869,-0.040,0.055,0.169,0
1872,-0.196,-0.019,12.854,0.059,-0.014,0.046,0
1896,-0.175,-0.017,12.838,-0.002,0.040,-0.045,0
1920,-0.213,-0.031,12.814,0.052,0.017,0.107,0
1944,-0.170,0.012,12.816,0.052,0.009,-0.045,0
1968,-0.220,-0.034,12.828,-0.024,0.017,0.039,0
1992,-0.208,-0.031,12.761,0.029,-0.022,0.001,0
2016,-0.180,-0.034,12.835,-0.024,-0.037,0.001,0
2040,-0.227,-0.038,12.828,-0.017,0.009,0.031,0
2064,-0.199,-0.038,12.790,0.037,-0.006,-0.015,0
2088,-0.192,-0.022,12.797,0.014,0.040,-0.068,0
2112,-0.189,0.010,12.847,-0.002,0.055,0.024,0
2136,-0.232,-0.012,12.862,0.029,0.009,0.031,0
2160,-0.199,-0.017,12.900,0.098,0.032,0.085,0
2184,-0.211,-0.034,12.785,0.021,0.024,0.069,0
2208,-0.184,0.017,12.852,0.037,-0.029,0.001,0
2232,-0.199,0.017,12.859,-0.040,-0.029,-0.114,0
2256,-0.177,-0.005,12.869,-0.055,0.078,-0.015,0
2280,-0.172,-0.036,12.804,0.006,-0.022,0.008,0
2304,-0.182,-0.007,12.816,0.021,0.062,0.008,0
2328,-0.204,-0.017,12.840,-0.002,-0.014,0.031,0
2352,-0.175,0.002,12.833,0.059,0.047,-0.038,0
2376,-0.168,-0.002,12.809,-0.032,0.032,0.001,0
2400,-0.189,-0.002,12.797,-0.002,0.017,0.024,0
2424,-0.175,-0.014,12.852,-0.032,0.024,0.039,0
2448,-0.165,-0.010,12.850,0.014,-0.052,0.054,0
2472,-0.220,0.014,12.859,0.014,0.055,-0.015,0
2496,-0.196,-0.017,12.831,-0.002,0.024,0.016,0
2520,-0.204,-0.014,12.864,-0.070,0.070,-0.022,0
2544,-0.187,-0.038,12.857,-0.040,-0.060,0.008,0
2568,-0.204,-0.038,12.864,-0.032,-0.014,0.031,0
2592,-0.196,0.010,12.888,-0.093,0.009,0.001,0
2616,-0.175,-0.024,12.874,0.029,0.055,-0.015,0
2640,-0.201,-0.038,12.905,0.044,-0.022,-0.053,0
2664,-0.194,0.002,12.823,-0.040,0.040,-0.091,0
2688,-0.199,0.005,12.864,0.006,-0.022,0.115,0
2712,-0.204,-0.012,12.871,0.067,-0.044,0.085,0
2736,-0.192,-0.019,12.881,0.044,-0.029,-0.083,0
2760,-0.189,-0.057,12.809,-0.002,0.078,0.031,0
2784,-0.180,-0.031,12.864,-0.002,-0.029,-0.030,0
2808,-0.194,-0.034,12.819,0.037,-0.037,-0.068,0
2832,-0.156,-0.010,12.826,0.105,-0.029,-0.053,0
2856,-0.223,-0.010,12.831,0.014,0.024,-0.144,0
2880,-0.187,0.014,12.795,0.006,0.055,-0.038,0
2904,-0.184,-0.026,12.783,0.037,0.017,-0.122,0
2928,-0.163,0.014,12.831,0.075,0.001,0.077,0
2952,-0.204,-0.019,12.857,0.037,-0.029,-0.076,0
2976,-0.201,-0.005,12.869,0.006,0.001,-0.015,0
3000,-0.213,0.045,12.869,-0.055,0.085,-0.022,0
3024,-0.177,-0.048,12.864,-0.101,0.001,0.046,0
3048,-0.184,-0.012,12.819,-0.017,0.001,0.069,0
3072,-0.163,-0.002,12.847,0.021,-0.014,-0.045,0
3096,-0.189,0.022,12.811,-0.116,-0.037,-0.068,0
3120,-0.168,0.007,12.816,-0.040,0.001,0.062,0
3144,-0.180,-0.074,12.852,-0.055,0.070,0.046,0
3168,-0.192,0.012,12.816,0.059,-0.006,-0.045,0
3192,-0.156,-0.007,12.898,-0.063,0.017,-0.091,0
3216,-0.220,0.012,12.854,-0.078,-0.029,0.046,0
3240,-0.182,0.012,12.859,0.067,0.001,-0.068,0
3264,-0.177,-0.031,12.886,-0.124,-0.006,-0.053,0
3288,-0.182,-0.041,12.840,-0.063,-0.060,-0.007,0
3312,-0.215,-0.007,12.859,-0.047,-0.006,-0.122,0
3336,-0.175,0.007,12.895,-0.093,-0.083,-0.091,0
3360,-0.182,-0.045,12.902,-0.032,0.024,0.062,0
3384,-0.239,0.000,12.831,-0.055,-0.006,0.039,0
3408,-0.215,-0.060,12.838,-0.024,-0.044,0.024,0
3432,-0.192,0.007,12.814,0.021,0.024,0.077,0
3456,-0.184,-0.017,12.850,-0.009,-0.083,0.062,0
3480,-0.172,-0.034,12.831,-0.063,0.040,0.016,0
3504,-0.175,0.010,12.819,0.067,-0.067,-0.015,0
3528,-0.204,-0.045,12.895,0.014,-0.075,-0.122,0
3552,-0.189,-0.029,12.874,-0.063,-0.052,-0.076,0
3576,-0.182,0.005,12.807,-0.047,-0.029,-0.114,0
3600,-0.235,-0.010,12.917,-0.055,-0.037,0.008,0
3624,-0.182,-0.031,12.862,-0.047,0.017,0.046,0
3648,-0.189,-0.012,12.874,0.006,-0.106,-0.038,0
3672,-0.199,-0.031,12.833,-0.047,0.001,0.062,0
3696,-0.187,-0.019,12.835,0.029,-0.014,0.039,0
3720,-0.206,-0.010,12.833,0.059,-0.037,0.031,0
