time,ax,ay,az,gx,gy,gz,label
1632,-1.408,0.067,12.711,0.013,-0.004,-0.074,0
1656,-1.477,0.038,12.720,-0.064,0.027,-0.082,0
1680,-1.434,0.024,12.723,0.043,0.011,-0.036,0
1704,-1.422,0.031,12.735,-0.109,0.050,0.117,0
1728,-1.472,0.045,12.723,0.013,0.004,-0.082,0
1752,-1.441,0.036,12.742,-0.018,-0.080,-0.051,0
1776,-1.405,0.036,12.699,-0.002,-0.019,-0.082,0
1800,-1.429,0.062,12.732,-0.025,0.057,0.002,0
1824,-1.480,0.022,12.766,0.020,0.027,0.025,0
1848,-1.453,0.050,12.689,0.005,-0.141,-0.020,0
1872,-1.444,0.026,12.730,0.059,-0.034,0.064,0
1896,-1.432,0.048,12.661,0.043,-0.050,0.018,0
1920,-1.444,0.057,12.680,0.036,-0.004,0.064,0
1944,-1.439,0.038,12.728,-0.041,-0.057,0.086,0
1968,-1.437,0.024,12.692,-0.002,0.019,-0.043,0
1992,-1.420,0.053,12.701,0.020,-0.027,-0.066,0
2016,-1.460,0.031,12.704,-0.033,-0.019,0.048,0
2040,-1.429,0.002,12.716,0.013,-0.011,0.102,0
2064,-1.451,0.026,12.787,-0.071,0.019,0.018,0
2088,-1.434,0.007,12.656,-0.102,0.065,-0.005,0
2112,-1.437,0.053,12.747,0.020,-0.080,-0.066,0
2136,-1.437,0.029,12.708,0.043,0.011,-0.097,0
2160,-1.425,0.024,12.752,-0.041,-0.011,-0.043,0
2184,-1.429,0.031,12.704,-0.041,-0.034,0.109,0
2208,-1.463,0.026,12.759,-0.018,0.011,0.140,0
2232,-1.448,0.005,12.725,0.020,-0.027,0.064,0
2256,-1.415,0.024,12.711,0.013,0.050,0.140,0
2280,-1.429,0.053,12.677,-0.056,-0.019,0.048,0
2304,-1.453,0.043,12.756,-0.064,-0.027,-0.043,0
2328,-1.434,0.024,12.763,0.005,0.011,-0.013,0
2352,-1.448,0.045,12.692,0.036,-0.004,-0.097,0
2376,-1.444,0.038,12.773,0.013,0.019,0.025,0
2400,-1.425,0.043,12.682,0.036,0.011,0.056,0
2424,-1.427,0.065,12.728,0.097,-0.279,0.056,0
2448,-1.427,0.012,12.747,0.020,-0.065,-0.020,0
2472,-1.434,0.050,12.718,0.051,-0.195,0.041,0
2496,-1.448,0.010,12.747,-0.025,-0.042,-0.043,0
2520,-1.472,0.002,12.708,-0.056,0.057,0.086,0
2544,-1.439,0.074,12.773,-0.048,0.073,0.025,0
2568,-1.448,0.024,12.749,-0.094,0.134,0.010,0
2592,-1.429,0.022,12.749,-0.018,0.156,-0.051,0
2616,-1.434,0.012,12.699,0.005,0.034,-0.028,0
2640,-1.439,0.010,12.759,-0.033,-0.019,0.155,0
2664,-1.429,0.038,12.677,-0.018,-0.065,-0.089,0
2688,-1.453,0.041,12.737,0.082,-0.050,0.018,0
2712,-1.453,0.048,12.728,-0.018,0.073,-0.020,0
2736,-1.429,0.022,12.754,-0.025,0.027,0.071,0
2760,-1.422,0.000,12.735,0.043,-0.019,0.025,0
2784,-1.458,0.050,12.687,0.013,0.004,0.033,0
2808,-1.458,0.050,12.716,0.036,0.042,0.064,0
2832,-1.441,0.062,12.790,0.051,-0.065,-0.013,0
2856,-1.448,0.069,12.689,-0.064,0.027,0.064,0
2880,-1.415,0.055,12.711,0.043,-0.004,-0.005,0
2904,-1.429,0.022,12.752,0.028,0.034,-0.059,0
2928,-1.432,0.026,12.704,-0.018,0.019,0.094,0
2952,-1.460,0.026,12.775,-0.018,0.011,0.018,0
2976,-1.475,0.036,12.730,-0.041,0.034,-0.104,0
3000,-1.420,0.002,12.723,-0.048,0.073,0.071,0
3024,-1.463,0.010,12.747,0.013,-0.050,0.048,0
3048,-1.460,0.005,12.759,0.013,0.019,-0.028,0
3072,-1.463,0.062,12.775,-0.064,-0.011,0.002,0
3096,-1.468,-0.012,12.696,0.005,0.057,0.048,0
3120,-1.437,0.022,12.682,-0.071,0.065,0.048,0
3144,-1.463,0.062,12.649,0.020,0.011,-0.051,0
3168,-1.441,0.002,12.735,0.013,-0.050,-0.059,0
3192,-1.427,0.017,12.749,0.043,0.034,-0.059,0
3216,-1.463,0.005,12.821,0.013,-0.011,-0.028,0
3240,-1.437,0.081,12.759,-0.079,0.050,-0.089,0
3264,-1.427,0.041,12.713,-0.048,-0.095,-0.043,0
3288,-1.441,0.002,12.754,0.043,-0.156,-0.005,0
3312,-1.444,-0.007,12.682,-0.079,0.027,0.033,0
3336,-1.391,0.048,12.778,0.059,-0.004,-0.013,0
3360,-1.391,0.031,12.694,0.020,0.057,-0.028,0
3384,-1.401,0.065,12.701,0.051,-0.202,0.086,0
3408,-1.413,0.043,12.713,0.120,-0.408,-0.020,0
3432,-1.460,0.050,12.701,0.135,-0.294,0.010,0
3456,-1.453,0.024,12.728,0.158,-0.492,0.010,0
3480,-1.405,0.034,12.747,0.158,-0.714,0.132,0
3504,-1.427,0.014,12.706,0.242,-0.943,0.178,0
