time,ax,ay,az,gx,gy,gz,label
1632,-0.230,-0.017,12.850,0.004,0.042,0.004,0
1656,-0.175,0.031,12.871,0.019,0.004,0.011,0
1680,-0.213,0.012,12.819,-0.088,0.057,0.011,0
1704,-0.220,-0.038,12.811,0.011,0.011,-0.050,0
1728,-0.184,0.017,12.835,0.042,-0.019,0.042,0
1752,-0.223,-0.026,12.852,0.019,-0.004,0.019,0
1776,-0.187,-0.041,12.854,0.019,0.042,-0.027,0
1800,-0.165,-0.007,12.878,-0.027,0.026,0.011,0
1824,-0.158,-0.007,12.862,-0.050,0.004,-0.004,0
1848,-0.180,-0.024,12.802,0.027,0.019,-0.012,0
1872,-0.201,-0.048,12.854,-0.103,0.057,0.026,0
1896,-0.180,-0.045,12.850,-0.065,0.004,0.103,0
1920,-0.201,-0.022,12.807,0.019,0.049,-0.019,0
1944,-0.170,0.019,12.881,-0.088,-0.080,-0.080,0
1968,-0.211,-0.005,12.821,-0.035,0.072,0.049,0
1992,-0.235,0.002,12.845,-0.019,-0.027,-0.012,0
2016,-0.204,-0.050,12.842,-0.088,-0.012,-0.065,0
2040,-0.192,-0.038,12.910,-0.080,0.065,0.004,0
2064,-0.170,-0.012,12.835,-0.050,-0.050,0.004,0
2088,-0.187,-0.019,12.823,0.042,0.004,0.019,0
2112,-0.192,-0.031,12.864,-0.019,0.011,0.042,0
2136,-0.206,0.002,12.787,0.004,0.042,0.011,0
2160,-0.199,0.017,12.883,0.019,-0.012,-0.019,0
2184,-0.204,-0.005,12.912,-0.035,0.065,-0.042,0
2208,-0.199,-0.005,12.895,0.004,0.049,0.026,0
2232,-0.175,0.000,12.809,0.011,-0.019,0.019,0
2256,-0.184,0.012,12.833,-0.080,0.042,0.065,0
2280,-0.199,0.005,12.826,0.042,0.026,0.011,0
2304,-0.184,-0.024,12.826,-0.027,-0.050,0.057,0
2328,-0.208,0.000,12.807,-0.035,-0.057,-0.027,0
2352,-0.194,-0.024,12.842,0.004,0.026,-0.004,0
2376,-0.235,-0.043,12.852,0.004,0.004,0.057,0
2400,-0.187,-0.024,12.835,-0.019,0.034,0.042,0
2424,-0.206,-0.024,12.883,-0.019,0.080,0.072,0
