time,ax,ay,az,gx,gy,gz,label
1632,1.425,-1.700,11.890,-36.177,4.668,-7.949,0
1656,1.190,-2.059,12.402,-45.169,4.744,-4.636,0
1680,1.358,-2.224,12.740,-43.139,3.332,-2.766,0
1704,1.056,-2.413,12.567,-27.543,6.943,-1.224,0
1728,1.104,-2.476,12.883,-15.421,5.767,1.082,0
1752,0.950,-2.552,12.996,-9.215,18.759,2.883,0
1776,1.140,-2.660,12.452,-4.940,14.454,3.929,0
1800,0.998,-2.466,12.663,-11.146,17.126,3.364,0
1824,1.487,-2.456,12.893,-14.016,3.423,7.089,0
1848,1.721,-2.490,12.529,-14.001,3.675,4.204,0
1872,0.958,-2.612,12.483,-12.536,18.454,-0.147,0
1896,0.704,-2.612,12.541,-11.887,18.897,1.906,0
1920,1.125,-2.519,12.194,-13.230,15.103,5.624,0
1944,1.063,-2.492,12.043,-20.894,2.691,4.501,0
1968,0.816,-2.919,12.105,-23.940,-9.828,5.082,0
1992,1.032,-2.770,12.368,-22.864,-1.172,1.929,0
2016,0.919,-2.847,12.268,-20.032,1.225,1.364,0
2040,0.855,-2.914,12.088,-19.581,-0.577,2.616,0
2064,0.857,-3.010,12.469,-17.536,-10.844,8.669,0
2088,1.109,-3.117,12.242,-5.864,0.912,7.990,0
2112,0.886,-3.179,11.983,0.220,11.080,2.364,0
2136,0.024,-3.644,12.371,4.319,11.103,-0.369,0
2160,0.797,-3.156,11.885,5.365,9.011,2.738,0
2184,0.409,-3.086,11.863,2.335,7.271,1.730,0
2208,0.524,-3.124,12.124,-0.795,7.133,4.333,0
2232,0.546,-3.017,12.131,-1.131,1.187,4.303,0
2256,0.666,-3.256,12.258,-0.329,8.011,4.051,0
2280,0.584,-3.218,12.122,3.296,5.477,2.708,0
2304,0.572,-3.254,11.964,2.388,3.347,1.425,0
2328,0.658,-3.151,12.119,2.106,6.943,1.272,0
2352,0.484,-3.124,12.155,3.090,20.706,2.494,0
2376,0.436,-3.139,12.273,3.083,18.561,2.830,0
2400,0.438,-3.062,12.495,4.388,24.752,2.158,0
2424,0.232,-3.103,12.486,9.396,39.805,2.333,0
2448,-0.043,-3.117,12.565,19.548,55.286,0.448,0
2472,-0.175,-2.806,12.380,32.571,67.660,-0.491,0
