time,ax,ay,az,gx,gy,gz,label
1632,1.867,-0.385,12.342,1.323,-42.530,-19.666,0
1656,1.844,-0.373,12.972,-1.692,-21.491,-14.300,0
1680,1.987,-0.326,12.912,-3.112,-27.980,-8.391,0
1704,2.021,-0.532,12.601,-5.433,-36.751,-7.514,0
1728,1.858,-0.582,12.668,-6.532,-33.094,-7.155,0
1752,2.413,-0.615,12.469,-4.578,-31.682,-4.071,0
1776,2.212,-0.663,12.620,-2.074,-34.087,-3.514,0
1800,3.146,-0.646,12.910,1.896,-28.667,-1.193,0
1824,3.321,-0.333,12.507,5.735,-22.033,-5.407,0
1848,3.168,-0.278,12.371,8.025,-11.163,-5.452,0
1872,3.620,-0.014,12.728,13.735,-3.262,-6.460,0
1896,3.689,-0.024,12.546,16.033,-13.209,-7.727,0
1920,3.730,-0.057,12.577,18.041,-18.491,-10.109,0
1944,3.766,0.045,12.531,21.247,-21.094,-12.582,0
1968,3.644,0.311,12.115,21.743,-17.896,-14.239,0
1992,3.460,0.034,12.191,19.117,-17.430,-13.483,0
2016,3.165,0.115,12.028,17.155,-10.682,-11.911,0
2040,3.091,0.187,12.488,18.209,4.837,-9.330,0
2064,2.995,0.163,12.359,22.239,8.577,-6.575,0
2088,3.017,0.132,11.868,21.186,15.730,-4.979,0
2112,2.823,0.316,11.928,18.422,36.738,-5.208,0
2136,2.667,0.488,12.277,14.544,46.585,-4.124,0
2160,2.385,0.464,12.232,10.468,42.096,-3.094,0
2184,2.693,0.584,11.875,4.445,52.074,-3.979,0
2208,2.327,0.512,11.892,-9.043,75.883,-7.201,0
2232,1.779,0.503,12.206,-18.104,87.035,-4.559,0
2256,1.525,0.498,12.752,-19.776,89.310,2.089,0
2280,1.403,0.558,13.060,-13.593,89.142,2.280,0
2304,1.192,0.575,13.065,-6.394,78.158,-2.277,0
2328,1.087,0.570,12.495,-1.891,83.333,-10.552,0
2352,0.278,0.627,12.768,-1.158,88.745,-12.300,0
2376,0.086,0.630,12.814,-3.326,77.463,-7.949,0
2400,-0.084,0.443,12.689,-10.585,70.096,-7.987,0
2424,-0.551,0.316,12.828,-12.349,65.486,-7.659,0
2448,-0.814,0.292,12.768,-10.593,57.577,-6.529,0
2472,-1.113,0.110,12.261,-11.776,53.783,-7.514,0
2496,-1.508,0.230,12.799,-14.448,42.852,-6.346,0
2520,-1.168,0.453,12.560,-27.959,42.593,-0.033,0
2544,-1.415,-0.141,12.637,-38.112,59.325,-2.445,0
2568,-1.882,-0.467,12.637,-43.349,76.142,-9.666,0
2592,-2.138,-0.685,12.313,-46.288,73.524,-16.094,0
2616,-2.559,-0.836,12.368,-50.112,68.089,-17.201,0
2640,-2.816,-0.886,12.720,-46.936,47.577,-15.437,0
2664,-2.670,-1.130,12.258,-45.830,24.066,-12.994,0
2688,-2.986,-1.413,12.143,-46.990,17.799,-14.452,0
2712,-3.117,-1.456,12.603,-49.463,18.295,-14.025,0
2736,-2.794,-1.532,12.294,-49.372,-3.949,-15.605,0
2760,-2.600,-1.693,12.122,-51.692,-7.644,-14.811,0
2784,-2.744,-2.093,11.894,-57.059,-3.560,-17.788,0
2808,-2.907,-2.274,12.629,-58.005,0.906,-20.262,0
2832,-2.665,-2.586,12.376,-52.456,-7.247,-16.628,0
2856,-2.679,-2.662,11.858,-49.234,-25.064,-12.636,0
2880,-2.938,-3.024,12.689,-47.249,-41.270,-10.628,0
2904,-2.485,-3.091,12.584,-41.509,-82.789,-6.559,0
2928,-1.460,-2.940,11.619,-29.959,-90.217,-3.162,0
2952,-1.425,-2.954,12.119,-20.456,-51.904,-1.529,0
2976,-1.815,-3.232,12.610,-12.738,-49.904,-0.231,0
3000,-1.259,-3.302,12.565,0.789,-57.255,2.196,0
3024,-0.543,-3.424,12.876,14.071,-79.049,0.494,0
3048,-0.601,-3.175,12.696,33.430,-79.499,-6.788,0
3072,-0.754,-3.110,12.055,50.590,-68.346,-10.231,0
3096,-0.467,-2.667,11.751,55.430,-75.552,-10.582,0
3120,0.017,-2.579,11.842,54.628,-80.514,-7.330,0
3144,-0.012,-2.349,11.947,52.438,-97.659,-6.834,0
3168,0.996,-2.270,12.342,51.033,-108.125,-4.315,0
3192,1.068,-2.085,11.784,47.499,-90.858,-9.582,0
3216,1.125,-2.198,11.545,43.438,-78.018,-9.720,0
3240,1.987,-1.856,12.277,31.239,-86.957,-8.460,0
3264,2.722,-1.630,12.778,26.583,-82.942,-13.781,0
3288,2.430,-1.506,12.117,30.293,-86.842,-16.353,0
3312,2.284,-1.496,11.849,28.209,-73.354,-13.460,0
3336,2.933,-1.302,11.902,23.987,-58.697,-9.880,0
3360,3.517,-0.895,12.582,21.789,-53.926,-6.674,0
3384,3.644,-1.092,12.208,24.560,-48.621,-2.674,0
3408,4.305,-1.087,12.005,22.231,-44.461,0.059,0
3432,3.845,-0.725,12.261,17.262,-33.148,-4.521,0
3456,4.094,-0.728,11.978,13.957,-27.797,-3.727,0
3480,3.986,-0.709,11.758,8.880,-28.842,-2.651,0
3504,4.396,-0.596,11.818,4.430,-38.827,-0.697,0
3528,4.175,-0.737,11.514,2.850,-51.010,-0.361,0
3552,4.571,-0.962,11.655,4.086,-58.675,-2.353,0
3576,5.892,-0.227,11.973,8.155,-56.774,-13.834,0
3600,5.581,-0.412,11.219,12.293,-70.476,-25.017,0
3624,4.808,-0.373,10.609,9.033,-93.247,-25.193,0
3648,5.040,-0.369,10.774,8.697,-96.797,-21.323,0
3672,6.062,-0.460,11.365,8.094,-88.560,-16.827,0
3696,6.833,-0.646,10.501,10.025,-60.552,-13.781,0
3720,6.397,-0.407,10.602,7.690,-59.453,-15.460,0
3744,6.584,-0.290,10.326,3.667,-51.262,-10.849,0
3768,6.771,0.026,10.412,7.598,-33.537,-12.040,0
3792,6.780,-0.134,10.551,5.445,-8.781,-11.643,0
3816,7.092,-0.144,10.446,-0.646,11.325,-10.514,0
3840,6.912,-0.242,10.348,-3.875,21.593,-7.804,0
3864,6.586,-0.615,10.250,-3.089,48.974,-12.972,0
3888,6.488,-0.378,10.364,-0.662,84.814,-17.811,0
3912,5.543,-0.261,10.230,6.102,113.524,-19.147,0
3936,4.997,-0.041,10.693,22.025,127.585,-24.353,0
3960,6.359,0.146,11.212,26.277,145.409,-28.117,0
3984,5.028,0.206,12.186,25.682,158.043,-1.140,0
4008,3.984,0.333,11.837,11.789,155.577,0.868,0
4032,3.050,0.462,12.201,0.941,133.417,0.250,0
4056,2.641,0.362,12.254,-2.089,148.783,-3.407,0
4080,1.870,0.352,12.069,-8.104,162.180,-6.140,0
4104,1.252,0.352,12.165,-16.539,164.814,-5.346,0
4128,0.706,0.321,12.972,-26.753,151.264,-7.010,0
4152,0.244,0.359,13.034,-26.845,120.845,-6.895,0
4176,0.084,0.079,12.424,-21.478,79.616,-2.330,0
4200,-0.182,0.108,12.534,-19.456,66.463,-1.178,0
4224,-0.024,0.134,12.646,-14.875,64.699,-3.384,0
4248,-0.397,0.060,12.524,-7.181,72.402,-10.720,0
4272,-0.692,0.115,13.036,-6.310,93.142,-12.078,0
4296,-1.324,-0.086,12.821,-3.143,73.272,-11.178,0
4320,-1.736,-0.204,12.747,0.018,47.883,-8.911,0
4344,-1.489,-0.151,12.857,-0.532,38.112,-6.117,0
4368,-1.832,-0.146,12.895,-0.310,44.058,-5.628,0
4392,-1.944,-0.251,12.950,1.697,36.974,-3.246,0
4416,-2.006,-0.249,12.514,6.728,20.409,-0.575,0
4440,-2.033,-0.098,12.799,5.659,13.631,2.830,0
4464,-2.296,-0.043,12.862,7.056,13.333,0.822,0
4488,-2.277,-0.124,12.541,11.781,4.669,-1.353,0
4512,-2.253,0.103,12.505,14.606,-12.636,0.929,0
4536,-2.155,0.259,12.605,13.873,-25.094,-0.040,0
4560,-2.229,-0.122,12.622,12.659,-56.629,2.364,0
4584,-2.112,0.084,12.857,10.644,-104.751,2.395,0
4608,-1.338,0.230,12.637,10.529,-121.759,-1.140,0
4632,-1.211,0.371,12.759,16.438,-106.018,-2.972,0
4656,-0.527,0.421,13.060,18.209,-100.270,-0.056,0
4680,0.294,0.488,12.735,21.071,-115.858,-2.254,0
4704,0.759,0.661,12.129,20.766,-139.072,1.685,0
4728,1.197,0.785,12.021,17.178,-161.446,4.929,0
4752,2.107,0.790,12.244,11.018,-148.759,5.021,0
4776,2.976,0.907,12.222,2.293,-144.621,9.586,0
4800,3.704,0.735,12.076,-0.547,-135.965,11.738,0
4824,3.462,0.582,12.038,5.941,-117.652,7.906,0
4848,3.986,0.654,11.820,8.896,-112.094,4.479,0
4872,4.415,0.706,11.746,10.758,-124.934,8.975,0
4896,4.990,0.876,11.787,12.896,-127.270,7.738,0
4920,5.133,0.840,11.181,18.461,-107.774,3.639,0
4944,5.217,0.733,11.183,19.186,-95.522,2.792,0
4968,5.373,0.546,10.839,11.300,-94.804,2.593,0
4992,5.995,0.697,10.233,-1.463,-109.568,7.410,0
5016,6.850,0.702,10.087,-5.631,-100.163,7.815,0
5040,6.898,0.481,9.957,-6.211,-72.949,4.937,0
5064,6.677,0.417,9.668,-11.074,-60.392,7.143,0
5088,6.797,0.373,9.378,-12.372,-59.873,12.464,0
5112,7.623,0.342,9.287,-13.738,-60.591,17.173,0
5136,8.533,0.333,9.342,-8.326,-29.858,10.418,0
5160,7.803,0.213,9.282,-2.753,-4.072,2.082,0
5184,7.599,0.208,9.565,-1.601,9.188,0.112,0
5208,7.314,0.194,9.663,-0.776,33.990,0.227,0
5232,7.417,0.345,9.955,0.606,80.287,-3.605,0
5256,6.907,0.177,10.070,0.583,119.020,-9.735,0
5280,6.804,0.709,10.104,2.094,128.906,-10.285,0
5304,6.009,0.529,10.824,4.254,129.425,-8.422,0
5328,5.526,0.493,10.683,5.155,149.470,-9.178,0
5352,5.212,0.486,10.949,3.980,159.554,-6.743,0
5376,4.805,0.496,11.394,2.048,157.593,-5.025,0
5400,4.307,0.457,11.966,8.064,168.043,-3.712,0
5424,3.275,0.596,12.364,6.911,150.096,-5.254,0
5448,2.923,0.702,12.503,-4.394,121.936,-1.445,0
5472,2.483,0.505,12.524,-13.875,132.532,-0.590,0
5496,2.011,0.390,13.326,-15.417,145.684,-2.880,0
5520,1.209,0.639,12.673,-13.074,128.051,-6.888,0
5544,0.496,0.481,12.390,-19.967,87.348,-2.888,0
5568,0.931,0.029,13.082,-27.196,78.974,0.402,0
5592,0.491,0.060,13.123,-27.463,89.699,-7.201,0
5616,-0.294,0.072,12.503,-26.845,91.112,-12.468,0
5640,-0.694,0.182,12.864,-31.685,70.554,-10.628,0
5664,-0.362,-0.244,13.022,-29.967,60.593,-5.903,0
5688,-0.498,-0.567,13.601,-29.295,80.295,-7.834,0
5712,-1.046,-0.608,13.096,-27.944,83.012,-6.956,0
5736,-1.925,-0.584,12.395,-24.547,78.883,-4.933,0
5760,-2.416,-0.627,12.639,-21.639,45.005,-0.491,0
5784,-1.918,-0.704,12.605,-4.639,1.432,1.051,0
5808,-1.994,-0.587,12.835,0.331,-1.759,2.364,0
5832,-2.339,-0.163,13.034,-3.852,-15.209,3.067,0
5856,-1.992,-0.108,12.900,-2.020,-38.026,0.937,0
5880,-1.961,-0.110,12.503,-9.150,-51.446,-7.300,0
5904,-1.999,-0.632,12.486,-11.326,-72.270,-9.598,0
5928,-1.384,-0.393,12.517,0.766,-81.369,-20.262,0
5952,-0.912,-0.436,12.261,24.170,-59.804,-32.033,0
5976,-0.764,-0.311,12.074,36.216,-51.507,-38.376,0
6000,-0.421,-0.139,12.115,39.819,-51.438,-40.949,0
6024,-0.766,-0.426,12.481,34.178,-65.713,-40.720,0
6048,0.144,-0.895,12.756,31.674,-87.087,-43.056,0
6072,0.481,-0.503,12.720,27.980,-72.606,-50.216,0
6096,0.915,0.101,12.881,33.041,-56.751,-48.239,0
6120,0.833,0.323,12.842,41.377,-61.972,-43.048,0
6144,1.065,0.321,12.457,41.865,-80.285,-31.773,0
6168,1.384,0.091,12.345,37.033,-105.797,-19.620,0
6192,2.667,0.955,12.100,52.178,-137.079,-24.704,0
6216,2.598,0.871,12.541,59.766,-89.896,-33.094,0
6240,2.483,1.403,12.110,57.346,-85.552,-39.017,0
6264,3.151,1.800,11.653,65.002,-120.415,-40.811,0
6288,4.503,2.198,11.547,72.392,-136.323,-50.231,0
6312,4.616,1.858,11.428,62.583,-94.285,-50.582,0
6336,4.223,1.712,10.913,45.186,-67.560,-42.987,0
6360,4.942,2.401,11.090,36.415,-55.888,-43.911,0
6384,5.885,3.024,10.827,33.102,-73.728,-49.819,0
6408,5.928,2.873,10.726,45.308,-76.820,-43.483,0
6432,5.758,2.919,10.659,44.300,-62.759,-23.704,0
6456,5.380,3.043,10.156,34.018,-49.247,-7.483,0
6480,5.782,3.194,10.044,34.125,-43.652,-3.430,0
6504,6.084,3.474,10.372,34.903,-28.766,-9.811,0
6528,6.045,3.723,10.003,30.155,-22.209,-8.193,0
6552,6.235,3.958,9.986,29.598,-19.507,-2.262,0
6576,6.065,4.108,10.297,20.590,-1.377,3.670,0
6600,6.235,4.061,10.345,9.125,9.974,11.372,0
6624,5.667,3.675,10.343,0.308,36.104,19.410,0
6648,5.674,3.718,10.657,-9.807,71.035,23.845,0
6672,5.523,3.127,11.389,-28.379,147.860,25.166,0
6696,4.824,3.316,10.755,-44.509,189.112,21.479,0
6720,4.104,3.888,10.546,-42.837,137.570,18.845,0
6744,3.742,3.508,10.817,-28.585,115.875,24.876,0
6768,3.179,2.792,10.788,-16.326,107.196,38.212,0
6792,3.369,2.940,11.775,-17.730,89.898,41.380,0
6816,2.085,5.217,13.554,-27.715,92.822,37.227,0
6840,1.168,4.051,12.977,-82.578,75.173,8.769,0
6864,2.385,2.552,11.387,-99.769,60.516,9.189,0
6888,1.946,2.258,12.179,-78.257,107.089,25.570,0
6912,1.803,1.630,12.608,-66.127,116.967,11.868,0
6936,1.516,0.864,12.289,-66.288,64.638,14.418,0
6960,1.453,0.991,12.766,-75.562,37.051,22.815,0
6984,1.561,0.788,13.185,-81.013,37.768,27.578,0
7008,0.838,-0.211,12.435,-87.685,58.845,27.280,0
7032,0.364,-0.445,12.141,-88.173,40.738,21.601,0
7056,0.496,-0.670,12.787,-88.898,30.646,16.311,0
7080,0.663,-0.955,12.876,-90.623,29.722,13.853,0
7104,-0.022,-1.607,12.519,-91.318,51.241,0.960,0
7128,-0.089,-1.494,12.701,-92.791,53.684,-4.414,0
7152,-0.148,-1.894,12.603,-91.784,44.875,-5.926,0
7176,-0.357,-2.152,12.718,-86.799,47.387,-5.239,0
7200,-0.318,-2.729,12.658,-81.257,36.196,-3.330,0
7224,-0.455,-2.986,12.345,-80.631,32.722,-5.162,0
7248,-0.749,-3.168,12.555,-79.761,42.738,-8.483,0
7272,-0.917,-3.579,12.246,-70.570,37.226,-11.140,0
7296,-1.106,-3.598,12.153,-64.486,33.669,-12.369,0
7320,-1.279,-3.910,12.064,-57.272,24.043,-11.842,0
7344,-1.386,-4.101,12.057,-46.120,8.593,-12.086,0
7368,-1.386,-4.254,11.665,-31.524,0.135,-14.094,0
7392,-1.374,-4.120,11.349,-20.547,-3.499,-15.765,0
7416,-1.401,-4.096,11.404,-6.127,-10.079,-17.956,0
7440,-1.439,-4.262,11.188,7.552,-28.690,-17.514,0
7464,-1.030,-4.322,11.315,19.483,-47.720,-18.697,0
7488,-0.579,-4.240,12.107,37.506,-57.392,-21.911,0
7512,-0.158,-3.883,12.402,65.277,-72.354,-25.017,0
7536,0.062,-3.728,11.937,88.224,-80.224,-28.453,0
7560,0.352,-3.254,11.954,100.033,-79.377,-28.544,0
7584,0.864,-2.904,12.380,102.621,-55.262,-23.369,0
7608,0.821,-2.725,12.100,105.796,-42.400,-21.216,0
7632,0.989,-2.363,11.710,103.850,-60.896,-18.598,0
7656,1.839,-1.580,12.960,101.476,-78.033,-18.025,0
7680,1.970,-1.381,12.570,106.010,-72.003,-19.552,0
7704,1.817,-1.247,12.002,101.399,-65.881,-16.628,0
7728,2.239,-0.682,12.033,93.590,-70.415,-14.796,0
7752,3.110,-0.127,12.807,89.728,-64.652,-15.346,0
7776,3.182,0.156,12.519,92.781,-46.255,-20.315,0
7800,2.737,0.541,11.981,92.109,-60.552,-19.811,0
7824,2.787,0.759,11.777,86.086,-76.545,-13.147,0
7848,3.479,1.149,11.863,80.056,-86.094,-10.155,0
7872,4.152,1.580,12.227,78.002,-74.552,-11.918,0
7896,4.300,1.906,11.902,78.002,-55.400,-14.109,0
7920,4.348,2.179,11.586,77.377,-44.476,-14.262,0
7944,4.252,2.545,11.349,72.544,-33.636,-12.430,0
7968,4.697,3.029,11.511,69.140,-23.293,-10.231,0
7992,4.647,3.067,11.526,67.712,-6.377,-10.231,0
