time,ax,ay,az,gx,gy,gz,label
1632,-0.220,-0.026,12.842,-0.008,-0.035,0.074,0
1656,-0.172,-0.038,12.857,-0.016,-0.050,-0.018,0
1680,-0.204,-0.014,12.862,-0.107,0.064,-0.048,0
1704,-0.204,-0.093,12.792,-0.039,0.034,-0.041,0
1728,-0.225,-0.029,12.859,-0.016,-0.042,-0.071,0
1752,-0.184,-0.010,12.857,-0.046,-0.027,0.066,0
1776,-0.230,-0.019,12.883,0.015,-0.050,0.005,0
1800,-0.201,-0.005,12.828,-0.000,0.057,-0.117,0
1824,-0.175,-0.036,12.814,0.076,-0.096,-0.033,0
1848,-0.199,-0.017,12.845,-0.054,-0.035,-0.048,0
1872,-0.175,-0.019,12.888,-0.100,-0.019,-0.064,0
1896,-0.192,-0.036,12.775,0.068,0.057,-0.026,0
1920,-0.175,-0.022,12.878,0.061,-0.065,-0.071,0
1944,-0.194,0.002,12.857,-0.046,-0.058,-0.048,0
1968,-0.168,-0.019,12.850,0.038,-0.012,-0.064,0
1992,-0.170,-0.012,12.847,-0.046,-0.027,0.028,0
2016,-0.232,-0.031,12.852,-0.046,0.019,-0.079,0
2040,-0.220,0.000,12.864,-0.031,0.064,-0.018,0
2064,-0.187,-0.026,12.833,-0.054,-0.103,-0.003,0
2088,-0.206,-0.012,12.833,-0.077,0.011,0.097,0
2112,-0.208,-0.045,12.845,-0.031,-0.065,0.066,0
2136,-0.194,-0.002,12.847,-0.016,0.064,0.074,0
2160,-0.199,-0.026,12.821,-0.046,0.034,-0.003,0
2184,-0.172,-0.007,12.842,-0.031,-0.012,0.005,0
2208,-0.232,0.005,12.881,-0.008,-0.058,0.028,0
2232,-0.182,-0.005,12.852,-0.023,-0.050,-0.094,0
2256,-0.213,-0.014,12.845,-0.000,0.026,-0.064,0
2280,-0.177,0.002,12.828,0.045,0.011,0.020,0
2304,-0.175,-0.010,12.871,-0.023,0.026,0.036,0
2328,-0.177,-0.012,12.811,-0.023,-0.073,-0.018,0
2352,-0.165,-0.012,12.819,0.045,0.064,-0.010,0
2376,-0.225,-0.050,12.871,0.007,-0.027,0.013,0
2400,-0.168,-0.014,12.816,-0.031,0.003,0.005,0
2424,-0.225,-0.024,12.890,-0.039,-0.027,-0.010,0
2448,-0.218,0.007,12.811,-0.061,0.057,0.020,0
2472,-0.187,-0.034,12.847,-0.023,-0.012,-0.010,0
2496,-0.213,-0.029,12.862,-0.000,0.011,-0.026,0
2520,-0.189,-0.024,12.835,-0.061,0.042,-0.033,0
2544,-0.192,0.034,12.888,0.007,-0.012,0.005,0
2568,-0.223,-0.019,12.840,-0.008,0.042,-0.117,0
2592,-0.213,0.022,12.847,0.038,0.011,0.005,0
2616,-0.199,-0.043,12.821,0.030,0.042,0.005,0
2640,-0.180,-0.010,12.835,0.007,0.080,0.089,0
2664,-0.194,-0.048,12.831,-0.100,-0.081,0.036,0
2688,-0.192,-0.007,12.831,-0.039,0.019,-0.003,0
2712,-0.208,0.005,12.890,-0.016,-0.012,0.028,0
2736,-0.196,-0.031,12.850,-0.016,0.011,-0.026,0
2760,-0.196,-0.017,12.835,-0.016,-0.012,0.051,0
2784,-0.230,0.005,12.847,-0.039,-0.050,0.089,0
2808,-0.172,-0.062,12.850,0.007,0.034,-0.110,0
2832,-0.204,-0.012,12.852,0.030,-0.081,0.036,0
2856,-0.204,-0.024,12.831,-0.023,0.034,0.119,0
2880,-0.165,0.019,12.838,-0.054,0.026,0.104,0
2904,-0.194,-0.045,12.780,-0.054,0.042,0.089,0
2928,-0.199,-0.007,12.845,-0.000,-0.027,-0.033,0
2952,-0.220,-0.007,12.826,0.007,0.087,-0.041,0
2976,-0.168,-0.053,12.850,0.038,-0.035,0.081,0
3000,-0.201,0.019,12.854,0.015,0.019,0.028,0
3024,-0.177,-0.029,12.869,-0.008,0.049,-0.033,0
3048,-0.215,-0.048,12.831,-0.000,-0.027,-0.026,0
3072,-0.211,-0.010,12.823,-0.061,-0.035,0.089,0
3096,-0.201,0.005,12.862,-0.008,0.003,0.005,0
3120,-0.225,-0.024,12.857,-0.046,0.034,0.005,0
3144,-0.213,-0.012,12.838,-0.008,0.026,0.043,0
3168,-0.177,-0.017,12.802,0.099,0.034,0.013,0
3192,-0.211,-0.014,12.857,0.023,-0.035,0.036,0
3216,-0.177,-0.014,12.866,0.007,0.057,0.043,0
3240,-0.177,-0.022,12.876,0.007,0.049,0.074,0
3264,-0.192,0.022,12.888,-0.077,-0.012,0.043,0
3288,-0.208,-0.029,12.845,-0.008,0.064,0.036,0
3312,-0.201,-0.048,12.854,0.007,0.003,-0.010,0
3336,-0.196,-0.036,12.854,0.023,-0.126,0.051,0
3360,-0.177,0.010,12.845,-0.061,-0.004,0.081,0
3384,-0.215,-0.017,12.859,-0.000,0.019,-0.071,0
3408,-0.192,-0.038,12.869,0.030,-0.019,0.028,0
3432,-0.184,-0.010,12.840,-0.039,0.003,-0.064,0
3456,-0.201,-0.010,12.840,0.038,-0.027,0.051,0
3480,-0.204,0.005,12.785,-0.023,-0.012,0.081,0
3504,-0.225,-0.010,12.874,0.038,0.057,0.020,0
3528,-0.189,0.005,12.871,0.015,0.042,-0.010,0
3552,-0.182,-0.005,12.823,0.023,0.026,-0.010,0
3576,-0.177,-0.005,12.864,-0.016,-0.004,-0.018,0
3600,-0.199,0.000,12.878,0.023,0.003,0.028,0
3624,-0.211,-0.050,12.876,-0.000,0.080,0.020,0
3648,-0.201,-0.041,12.823,0.015,0.034,-0.026,0
3672,-0.189,-0.017,12.864,-0.008,-0.027,0.005,0
3696,-0.182,-0.022,12.850,-0.016,-0.027,0.028,0
3720,-0.182,-0.041,12.804,-0.061,-0.019,0.043,0
3744,-0.158,0.005,12.826,0.030,0.057,0.112,0
3768,-0.175,-0.034,12.883,-0.039,0.034,0.005,0
3792,-0.182,-0.031,12.893,-0.061,0.011,0.058,0
