time,ax,ay,az,gx,gy,gz,label
1632,-0.215,-0.048,12.857,0.611,-2.188,-1.615,0
1656,-0.223,0.024,12.840,0.497,-1.623,-2.142,0
1680,-0.194,-0.041,12.850,0.489,-1.417,-2.699,0
1704,-0.144,0.069,12.874,-0.129,0.522,-1.081,0
1728,-0.192,-0.048,12.859,-0.427,1.614,-0.997,0
1752,-0.182,-0.048,12.795,0.145,0.117,-1.020,0
1776,-0.096,0.002,12.864,0.008,0.484,-0.378,0
1800,1.204,-1.298,12.615,-0.954,-0.165,-0.401,0
1824,-0.139,-0.026,13.015,0.069,-0.211,-0.188,0
1848,-0.208,0.010,12.785,0.603,-1.676,-0.165,0
1872,-0.110,-0.055,12.929,0.275,-0.447,-0.020,0
1896,-0.259,-0.005,12.809,0.008,-0.211,0.018,0
1920,-0.151,-0.031,12.821,0.512,-1.509,-0.081,0
1944,-0.038,-0.010,12.775,0.290,-1.409,-0.913,0
1968,0.038,-0.007,12.792,-0.122,0.942,-1.615,0
1992,-0.230,-0.055,12.842,-0.939,2.766,-0.043,0
2016,-0.223,0.010,12.857,0.481,-2.089,0.713,0
2040,-0.158,-0.002,12.862,0.924,-3.493,1.957,0
2064,-0.156,-0.019,12.854,1.275,-4.241,0.904,0
2088,-0.124,0.055,12.785,1.268,-3.921,0.446,0
2112,-0.146,0.048,12.775,0.802,-2.898,0.576,0
2136,-0.038,0.057,12.864,0.626,-1.676,0.797,0
2160,-0.115,-0.048,12.876,1.352,-3.531,0.072,0
2184,-0.113,0.069,12.833,1.130,-2.776,-0.516,0
2208,-0.041,0.038,12.888,1.344,-2.531,-0.027,0
2232,-0.146,0.062,12.833,2.634,-2.936,-0.699,0
2256,0.012,0.031,12.716,2.306,-2.325,-0.340,0
2280,-0.065,-0.026,13.027,1.458,-0.631,-2.233,0
2304,-0.163,0.160,12.965,4.107,-1.699,-1.455,0
2328,-0.062,0.084,12.821,4.703,-1.425,0.858,0
2352,-0.026,0.096,12.862,3.603,-2.249,0.767,0
2376,-0.024,0.091,12.914,5.016,-1.638,0.896,0
2400,-0.101,0.168,12.847,6.626,-1.783,0.782,0
2424,-0.045,0.168,12.668,6.748,-1.127,1.011,0
2448,0.057,0.158,12.871,5.573,-2.112,0.217,0
2472,-0.005,0.290,12.747,6.718,-0.310,-0.455,0
2496,-0.017,0.266,12.792,5.787,-0.119,-0.157,0
2520,-0.041,0.357,12.804,3.894,-0.356,-0.295,0
2544,0.050,0.290,12.874,3.260,-0.592,-0.989,0
2568,-0.060,0.297,12.802,4.115,0.041,-1.211,0
2592,-0.034,0.412,12.763,3.382,0.095,-0.592,0
2616,0.060,0.309,12.819,2.359,-0.035,-0.348,0
2640,-0.062,0.328,12.816,1.939,0.087,-1.447,0
2664,-0.034,0.400,12.838,1.443,0.201,-1.340,0
2688,-0.026,0.369,12.787,1.023,-0.005,-1.104,0
2712,0.022,0.383,12.761,0.497,0.095,-0.775,0
2736,0.007,0.338,12.852,0.535,-0.417,-0.997,0
2760,-0.043,0.366,12.802,0.886,0.346,-0.798,0
2784,-0.024,0.352,12.814,0.672,-0.455,-0.302,0
2808,0.017,0.357,12.922,1.100,-0.799,-0.356,0
2832,0.022,0.352,12.883,2.451,-0.509,-0.142,0
2856,-0.045,0.445,12.740,2.871,-0.127,-0.707,0
2880,-0.022,0.409,12.895,2.687,-0.608,-0.615,0
2904,0.010,0.381,12.821,3.054,-0.722,-0.775,0
2928,0.024,0.464,12.900,3.031,-0.699,-1.256,0
2952,0.036,0.476,12.838,4.061,-0.959,-1.004,0
2976,-0.007,0.443,12.850,4.802,0.102,-0.745,0
3000,0.014,0.450,12.821,4.634,1.385,-1.081,0
3024,-0.017,0.522,12.912,4.642,1.339,-0.951,0
3048,0.007,0.520,12.778,4.306,2.232,-0.722,0
3072,-0.019,0.508,12.759,3.359,1.774,-0.623,0
3096,0.012,0.567,12.936,2.916,0.728,-0.806,0
3120,0.014,0.551,12.866,3.832,1.568,-0.753,0
3144,-0.034,0.579,12.821,4.145,2.163,-0.997,0
3168,-0.065,0.603,12.838,4.092,1.629,-0.539,0
3192,-0.091,0.584,12.919,4.184,1.018,-0.157,0
3216,-0.024,0.632,12.759,4.603,1.904,-0.753,0
3240,-0.055,0.666,12.732,4.153,2.362,-1.027,0
3264,-0.053,0.654,12.749,2.680,1.575,-0.722,0
3288,-0.084,0.627,12.914,2.382,0.751,-0.806,0
3312,-0.127,0.699,12.847,3.138,1.804,-0.524,0
3336,-0.101,0.704,12.871,3.596,2.423,-0.653,0
3360,-0.053,0.704,12.763,3.817,2.285,-0.440,0
3384,-0.115,0.742,12.842,3.542,2.079,-0.485,0
3408,-0.144,0.764,12.763,3.474,2.637,-0.378,0
3432,-0.122,0.819,12.795,3.206,1.988,-0.440,0
3456,-0.144,0.769,12.869,3.214,1.934,-0.592,0
3480,-0.163,0.725,12.833,3.443,3.278,-1.104,0
3504,-0.175,0.845,12.797,3.550,3.537,-1.287,0
3528,-0.239,0.848,12.888,3.504,2.965,-0.753,0
3552,-0.158,0.769,12.735,3.397,3.934,-0.188,0
3576,-0.170,0.814,12.780,2.703,4.255,-0.562,0
3600,-0.251,0.792,12.763,2.382,5.026,-0.691,0
3624,-0.251,0.848,12.857,1.512,8.430,-0.569,0
3648,-0.292,0.943,12.747,1.245,6.774,0.064,0
3672,-0.314,0.814,12.802,1.451,4.324,1.087,0
3696,-0.330,0.852,12.804,1.916,6.346,0.499,0
3720,-0.409,0.881,12.665,1.321,7.461,0.408,0
3744,-0.364,0.883,12.754,0.413,3.033,1.018,0
3768,-0.362,0.836,12.785,0.046,2.774,1.080,0
3792,-0.388,0.895,12.744,0.138,3.972,0.370,0
3816,-0.445,0.927,12.773,0.237,3.209,0.499,0
3840,-0.366,0.893,12.804,0.245,2.308,0.599,0
3864,-0.484,0.862,12.711,0.756,3.568,-0.134,0
3888,-0.448,0.905,12.725,0.863,3.598,-0.585,0
3912,-0.443,0.888,12.795,0.840,2.278,-0.295,0
3936,-0.488,0.883,12.754,0.321,3.621,-0.722,0
3960,-0.512,0.898,12.766,0.123,3.339,-0.753,0
3984,-0.524,0.965,12.833,0.863,2.782,-0.440,0
4008,-0.517,0.917,12.768,0.527,4.950,-0.378,0
4032,-0.484,0.852,12.730,0.000,4.270,-0.638,0
4056,-0.565,0.907,12.759,0.420,3.820,-0.302,0
4080,-0.584,0.922,12.720,0.245,4.247,-0.531,0
4104,-0.512,0.891,12.675,0.145,3.476,-0.211,0
4128,-0.697,0.941,12.816,0.283,2.652,0.438,0
4152,-0.663,0.869,12.797,-0.511,4.377,-0.447,0
4176,-0.589,0.891,12.663,0.069,4.545,-0.310,0
4200,-0.694,0.948,12.754,-0.183,2.888,0.751,0
4224,-0.649,0.891,12.689,-2.267,2.362,0.186,0
4248,-0.663,0.824,12.799,-2.305,1.995,0.629,0
4272,-0.747,0.915,12.831,-1.267,3.446,0.583,0
4296,-0.692,0.838,12.708,-2.381,2.759,0.247,0
4320,-0.730,0.852,12.704,-2.587,2.988,-0.127,0
4344,-0.702,0.876,12.684,-2.839,2.354,-0.218,0
4368,-0.709,0.819,12.838,-3.274,2.331,-0.730,0
4392,-0.778,0.804,12.723,-2.877,3.041,-0.913,0
4416,-0.778,0.804,12.811,-2.992,2.950,-0.936,0
4440,-0.740,0.783,12.696,-2.687,4.927,-0.859,0
4464,-0.788,0.790,12.744,-2.671,3.186,-0.165,0
4488,-0.778,0.709,12.811,-3.076,1.285,-0.188,0
4512,-0.778,0.735,12.773,-3.053,1.621,-0.676,0
4536,-0.824,0.728,12.890,-2.702,2.316,-0.783,0
4560,-0.836,0.668,12.785,-3.038,3.316,-1.455,0
4584,-0.809,0.735,12.725,-2.839,3.392,-1.272,0
4608,-0.886,0.769,12.809,-3.106,1.690,-1.356,0
4632,-0.804,0.699,12.797,-3.389,1.843,-1.401,0
4656,-0.876,0.742,12.730,-2.519,1.049,-0.302,0
4680,-0.804,0.613,12.797,-2.648,-0.493,-0.004,0
4704,-0.838,0.642,12.759,-2.816,2.316,-1.027,0
4728,-0.879,0.733,12.759,-3.137,2.331,-1.165,0
4752,-0.912,0.646,12.787,-3.252,0.308,-0.592,0
4776,-0.828,0.634,12.811,-2.091,1.675,-0.630,0
4800,-0.905,0.656,12.780,-1.198,1.484,-0.432,0
4824,-0.867,0.596,12.778,-1.168,0.904,-0.249,0
4848,-0.881,0.622,12.811,-0.992,1.201,-0.966,0
4872,-0.936,0.637,12.847,-1.007,3.316,-1.722,0
4896,-0.915,0.639,12.730,-1.053,1.934,-0.730,0
4920,-0.905,0.582,12.814,-0.458,-0.241,0.240,0
4944,-0.936,0.551,12.773,-0.313,1.224,0.080,0
4968,-0.943,0.599,12.725,-0.992,2.537,-0.562,0
4992,-0.931,0.575,12.823,-1.366,0.858,-0.302,0
5016,-0.910,0.599,12.744,-0.954,2.408,-0.043,0
5040,-0.900,0.589,12.809,-1.106,0.507,0.263,0
5064,-0.984,0.553,12.833,-0.809,0.682,0.164,0
5088,-0.991,0.611,12.574,-1.320,2.888,-0.394,0
5112,-0.965,0.536,12.716,-2.290,-0.921,0.560,0
5136,-0.960,0.558,12.933,-1.946,-0.165,-0.058,0
5160,-0.934,0.567,12.871,-1.404,1.873,-0.898,0
5184,-0.962,0.551,12.689,-1.030,2.575,-1.279,0
5208,-1.003,0.649,12.670,-1.610,1.827,-0.974,0
5232,-0.972,0.579,12.790,-2.007,-0.104,-0.279,0
5256,-0.946,0.481,12.740,-1.465,0.888,-0.394,0
5280,-1.006,0.505,12.783,-0.824,1.606,-0.890,0
5304,-1.006,0.529,12.771,-1.061,1.377,-1.615,0
5328,-1.044,0.577,12.792,-1.099,1.644,-1.211,0
5352,-1.027,0.524,12.833,-0.633,-0.287,-0.363,0
5376,-1.068,0.524,12.807,0.107,1.782,-0.317,0
5400,-0.989,0.460,12.708,-0.435,2.759,-0.646,0
5424,-0.998,0.508,12.711,-0.122,2.637,-1.081,0
5448,-1.082,0.543,12.728,-0.206,2.583,-0.936,0
5472,-1.063,0.510,12.773,-0.809,2.110,-0.531,0
5496,-1.044,0.474,12.773,-1.290,1.408,-0.394,0
5520,-1.094,0.517,12.768,-0.732,1.026,0.316,0
5544,-1.085,0.441,12.701,-0.626,2.072,-0.020,0
5568,-1.008,0.450,12.728,-1.481,0.972,-0.340,0
5592,-1.046,0.479,12.835,-1.572,0.675,-0.440,0
5616,-1.080,0.424,12.735,-1.656,1.720,-0.386,0
5640,-1.097,0.464,12.773,-1.946,1.560,-0.111,0
5664,-1.092,0.467,12.716,-2.045,0.179,0.217,0
