time,ax,ay,az,gx,gy,gz,label
1632,-0.213,-0.017,12.826,-0.075,0.056,-0.022,0
1656,-0.223,0.019,12.821,-0.075,0.025,-0.022,0
1680,-0.172,0.000,12.857,-0.060,0.124,-0.052,0
1704,-0.204,0.007,12.833,0.009,0.033,0.070,0
1728,-0.163,-0.019,12.866,-0.052,-0.013,0.016,0
1752,-0.192,-0.036,12.833,-0.037,0.010,-0.052,0
1776,-0.201,0.005,12.795,-0.044,0.010,0.062,0
1800,-0.211,-0.012,12.819,0.009,0.079,0.054,0
1824,-0.189,-0.026,12.902,0.055,-0.036,0.054,0
1848,-0.177,0.000,12.900,0.024,-0.036,-0.037,0
1872,-0.208,-0.010,12.831,-0.006,0.056,-0.037,0
1896,-0.227,0.024,12.871,0.017,0.056,0.054,0
1920,-0.204,-0.026,12.864,0.032,-0.005,-0.083,0
1944,-0.175,0.012,12.862,0.040,-0.036,0.024,0
1968,-0.201,-0.019,12.799,-0.006,-0.021,-0.014,0
1992,-0.201,-0.005,12.840,0.055,-0.005,0.039,0
2016,-0.182,-0.036,12.835,0.055,0.002,0.039,0
2040,-0.156,-0.007,12.895,0.070,-0.005,-0.014,0
2064,-0.153,-0.038,12.862,0.040,-0.082,0.024,0
2088,-0.187,-0.002,12.809,0.063,-0.005,-0.052,0
2112,-0.160,-0.014,12.833,-0.014,0.018,-0.045,0
2136,-0.194,-0.026,12.910,0.009,0.010,0.001,0
2160,-0.227,-0.010,12.835,0.009,0.033,0.039,0
2184,-0.218,-0.007,12.878,0.032,0.002,0.016,0
2208,-0.247,-0.029,12.828,0.024,-0.013,0.032,0
2232,-0.172,0.019,12.823,0.070,-0.028,-0.007,0
2256,-0.211,-0.007,12.864,-0.014,-0.013,-0.014,0
2280,-0.182,-0.022,12.874,-0.006,0.018,-0.037,0
2304,-0.196,-0.024,12.775,-0.060,0.063,0.154,0
2328,-0.206,-0.022,12.814,-0.014,0.002,-0.068,0
2352,-0.165,-0.024,12.831,-0.037,0.048,-0.014,0
2376,-0.223,-0.010,12.888,0.009,-0.043,0.054,0
2400,-0.194,-0.007,12.840,-0.029,0.033,0.032,0
2424,-0.211,-0.012,12.828,0.032,0.025,-0.014,0
2448,-0.177,-0.005,12.814,0.024,-0.059,0.146,0
2472,-0.177,-0.057,12.871,-0.006,0.063,0.009,0
2496,-0.206,-0.026,12.828,0.047,0.025,0.070,0
2520,-0.218,-0.065,12.795,-0.006,-0.021,0.024,0
2544,-0.175,0.007,12.888,-0.044,-0.043,0.024,0
2568,-0.168,-0.019,12.831,-0.021,0.002,0.016,0
2592,-0.170,-0.038,12.871,-0.090,0.033,-0.014,0
2616,-0.175,-0.019,12.840,0.032,0.033,0.001,0
2640,-0.230,-0.010,12.869,0.009,0.033,-0.075,0
2664,-0.189,0.000,12.826,0.002,0.071,-0.052,0
2688,-0.211,-0.050,12.866,-0.014,0.002,-0.060,0
2712,-0.208,-0.038,12.847,0.040,0.018,-0.014,0
2736,-0.189,-0.057,12.929,0.024,-0.043,-0.045,0
2760,-0.175,-0.002,12.823,0.047,-0.074,-0.052,0
2784,-0.201,-0.007,12.795,-0.006,-0.089,-0.007,0
2808,-0.184,-0.048,12.878,-0.044,0.010,0.024,0
2832,-0.218,0.002,12.859,-0.029,0.002,-0.037,0
2856,-0.199,-0.029,12.854,-0.044,-0.013,0.054,0
2880,-0.201,-0.014,12.852,-0.021,0.002,-0.045,0
2904,-0.201,-0.048,12.831,0.002,0.063,0.062,0
2928,-0.199,-0.043,12.864,-0.021,0.025,0.016,0
2952,-0.184,-0.012,12.886,-0.006,-0.059,-0.007,0
2976,-0.199,-0.038,12.780,0.070,-0.005,0.016,0
3000,-0.170,-0.029,12.862,0.063,-0.021,0.054,0
3024,-0.163,0.005,12.833,-0.014,-0.051,-0.052,0
3048,-0.206,-0.060,12.828,-0.037,-0.043,-0.106,0
3072,-0.230,0.014,12.835,0.040,-0.043,0.070,0
3096,-0.165,-0.022,12.852,0.024,-0.005,-0.060,0
3120,-0.153,-0.031,12.852,-0.060,-0.013,-0.052,0
3144,-0.201,-0.010,12.814,-0.044,-0.013,0.100,0
3168,-0.192,0.010,12.842,-0.014,-0.036,0.016,0
3192,-0.213,-0.014,12.852,0.078,0.033,-0.030,0
3216,-0.206,0.005,12.878,-0.021,-0.043,0.070,0
3240,-0.213,0.010,12.816,0.017,0.018,0.016,0
3264,-0.215,-0.031,12.854,-0.052,0.033,0.085,0
3288,-0.211,-0.002,12.850,0.063,0.018,-0.075,0
3312,-0.218,-0.034,12.924,-0.044,0.071,-0.022,0
3336,-0.189,-0.022,12.838,0.009,-0.059,0.077,0
3360,-0.204,-0.024,12.840,-0.037,-0.066,0.070,0
3384,-0.201,-0.048,12.852,-0.021,-0.059,-0.030,0
3408,-0.220,-0.034,12.802,0.070,-0.005,0.077,0
3432,-0.180,-0.022,12.876,0.002,0.002,-0.022,0
3456,-0.199,-0.026,12.816,0.009,-0.013,0.016,0
3480,-0.206,-0.022,12.895,0.085,-0.036,-0.014,0
3504,-0.227,-0.036,12.876,0.047,-0.028,0.016,0
3528,-0.163,-0.002,12.797,0.063,-0.043,0.100,0
3552,-0.194,-0.043,12.869,0.024,0.018,0.024,0
3576,-0.184,-0.022,12.850,0.055,0.033,0.001,0
3600,-0.204,0.019,12.835,0.002,0.048,0.024,0
