time,ax,ay,az,gx,gy,gz,label
1632,-0.204,0.014,12.807,-0.029,0.162,-0.320,0
1656,-0.254,-0.014,12.864,-0.006,0.056,-0.197,0
1680,-0.242,0.024,12.831,-0.014,0.094,-0.281,0
1704,-0.239,-0.019,12.828,-0.113,0.086,-0.213,0
1728,-0.235,-0.017,12.833,0.002,0.025,-0.243,0
1752,-0.247,-0.007,12.857,0.009,0.132,-0.129,0
1776,-0.242,0.007,12.831,0.063,0.040,-0.113,0
1800,-0.268,0.010,12.814,0.017,0.025,-0.136,0
1824,-0.239,0.019,12.792,0.002,0.086,-0.243,0
1848,-0.249,0.005,12.845,-0.075,0.063,-0.258,0
1872,-0.271,0.010,12.787,-0.059,0.170,-0.213,0
1896,-0.036,0.048,12.811,1.215,-4.601,-0.037,0
1920,-0.299,0.177,13.080,-0.739,3.376,-0.266,0
1944,-0.041,0.089,12.735,0.429,-1.570,0.963,0
1968,-0.280,0.108,12.886,0.017,0.246,-0.327,0
1992,-0.237,-0.081,12.797,-0.189,0.246,-0.289,0
2016,-0.213,0.019,12.795,-0.052,0.491,-0.335,0
2040,-0.223,0.022,12.833,0.047,-0.120,-0.182,0
2064,-0.249,0.017,12.948,-0.151,0.170,-0.205,0
2088,-0.206,-0.043,12.701,-0.090,-0.112,-0.205,0
2112,-0.280,0.026,12.938,-0.113,0.307,-0.167,0
2136,-0.280,0.007,12.842,0.040,-0.257,-0.167,0
2160,-0.235,-0.031,12.795,0.009,0.162,-0.228,0
2184,-0.261,0.036,12.890,-0.029,0.140,-0.266,0
2208,-0.261,-0.007,12.819,-0.044,0.254,-0.289,0
2232,-0.218,-0.007,12.773,0.002,-0.525,-0.152,0
2256,-0.242,0.012,12.814,0.376,-1.860,-0.304,0
2280,-0.237,-0.017,12.819,0.292,-1.387,-0.709,0
2304,-0.225,-0.002,12.795,0.024,0.033,-1.136,0
2328,-0.077,0.026,12.799,1.795,-7.677,-0.373,0
2352,-0.268,0.024,12.945,0.757,-3.402,-1.862,0
2376,-0.127,-0.005,12.797,1.002,-5.189,-1.732,0
2400,-0.096,0.041,12.842,-0.640,2.269,-2.106,0
2424,-0.259,0.005,12.866,-0.647,3.101,-0.228,0
2448,-0.189,-0.010,12.864,0.185,-1.044,-0.205,0
2472,-0.136,0.010,12.869,0.200,-0.647,-1.411,0
2496,-0.220,-0.036,12.850,0.574,-2.425,-0.251,0
2520,-0.227,0.014,12.955,1.223,-6.044,0.070,0
2544,-0.122,0.005,12.917,1.597,-9.670,-0.205,0
2568,-0.031,0.002,12.737,1.231,-11.830,-0.136,0
2592,-0.069,-0.237,12.881,0.360,-5.601,-2.320,0
2616,0.091,-0.373,12.790,0.215,-4.494,-6.388,0
2640,-0.026,0.481,12.957,1.047,-0.967,-7.083,0
2664,-0.060,0.302,12.728,0.284,-3.822,-0.793,0
