time,ax,ay,az,gx,gy,gz,label
1632,-0.510,-0.017,12.828,-0.066,0.094,0.046,0
1656,-0.505,-0.026,12.847,-0.043,-0.021,0.054,0
1680,-0.532,-0.060,12.850,-0.089,0.040,-0.068,0
1704,-0.476,-0.072,12.888,0.003,-0.066,-0.045,0
1728,-0.555,-0.053,12.881,-0.043,0.048,0.023,0
1752,-0.529,-0.072,12.819,0.079,0.040,-0.015,0
1776,-0.520,-0.002,12.809,-0.020,0.071,-0.053,0
1800,-0.508,-0.072,12.807,-0.043,0.063,0.115,0
1824,-0.474,-0.050,12.835,0.033,0.033,-0.015,0
1848,-0.522,-0.010,12.869,0.102,-0.479,0.023,0
1872,-0.481,-0.034,12.802,0.514,-1.837,0.153,0
1896,-0.469,-0.053,12.790,0.369,-1.822,0.054,0
1920,-0.481,-0.045,12.840,0.117,-0.547,-0.038,0
1944,-0.524,-0.005,12.749,-0.181,0.727,0.000,0
1968,-0.524,-0.024,12.864,-0.226,0.964,-0.030,0
1992,-0.575,-0.034,12.785,-0.387,1.437,-0.030,0
2016,-0.484,-0.057,12.842,-0.196,0.834,0.176,0
2040,-0.469,-0.022,12.828,-0.013,0.018,0.069,0
2064,-0.541,-0.036,12.883,-0.089,0.643,0.054,0
2088,-0.493,0.007,12.816,0.018,-0.166,0.031,0
2112,-0.503,-0.007,12.797,0.132,-0.708,0.000,0
2136,-0.524,-0.029,12.821,0.216,-0.914,-0.007,0
2160,-0.522,-0.031,12.713,0.407,-1.318,0.084,0
2184,-0.486,-0.022,12.756,0.453,-1.853,0.130,0
2208,-0.443,-0.029,12.807,0.338,-1.288,0.061,0
2232,-0.460,-0.010,12.802,0.285,-1.013,0.061,0
2256,-0.496,-0.038,12.866,0.056,-0.349,0.077,0
2280,-0.484,-0.048,12.847,0.400,-1.708,0.092,0
2304,-0.496,0.017,12.787,0.407,-1.921,0.054,0
2328,-0.445,0.000,12.780,0.354,-1.349,-0.099,0
2352,-0.476,-0.053,12.864,-0.257,1.582,-1.274,0
2376,-0.510,0.000,12.878,0.109,-0.303,-0.732,0
2400,-0.436,-0.038,12.833,0.056,-0.425,-0.313,0
2424,-0.491,0.000,12.842,-0.081,0.498,-0.114,0
2448,-0.450,0.010,12.821,0.025,-0.318,-0.045,0
2472,-0.498,-0.017,12.799,0.140,-0.418,-0.023,0
2496,-0.503,-0.017,12.888,0.361,-1.708,0.100,0
2520,-0.474,0.012,12.842,0.400,-1.761,0.031,0
2544,-0.414,0.007,12.766,0.354,-1.074,0.100,0
2568,-0.412,-0.019,12.761,0.270,-1.189,-0.030,0
2592,-0.429,-0.012,12.814,1.003,-3.463,0.184,0
2616,-0.414,-0.038,12.854,1.186,-3.975,0.008,0
2640,-0.402,0.012,12.862,0.964,-3.524,0.222,0
2664,-0.345,0.007,12.833,0.575,-2.761,0.054,0
2688,-0.371,0.005,12.845,0.590,-2.105,0.138,0
2712,-0.376,0.012,12.814,0.270,-1.463,0.229,0
2736,-0.383,-0.022,12.847,0.438,-1.929,0.550,0
2760,-0.340,0.038,12.850,0.384,-1.242,0.031,0
2784,-0.357,0.014,12.835,0.109,-0.700,-0.190,0
2808,-0.302,-0.002,12.795,0.132,-1.410,0.039,0
2832,-0.369,-0.005,12.833,-0.074,-0.418,-0.206,0
2856,-0.318,0.002,12.802,0.018,-0.326,-0.038,0
2880,-0.309,0.024,12.835,0.094,-0.211,0.039,0
2904,-0.359,0.024,12.787,-0.081,-0.578,0.390,0
2928,-0.364,-0.017,12.859,-0.127,-0.937,0.588,0
2952,-0.314,0.005,12.802,0.087,-1.089,0.466,0
2976,-0.333,0.031,12.797,0.087,-1.066,0.268,0
3000,-0.345,-0.005,12.852,-0.219,-1.853,0.069,0
3024,-0.335,0.038,12.845,-0.310,-3.051,0.168,0
3048,-0.366,0.034,12.766,-0.249,-2.990,0.229,0
3072,-0.290,0.012,12.857,-0.303,-2.906,0.054,0
3096,-0.247,0.005,12.785,-0.379,-3.196,0.145,0
3120,-0.251,0.036,12.809,-0.234,-1.471,0.191,0
3144,-0.321,0.022,12.874,0.132,-0.013,0.061,0
