time,ax,ay,az,gx,gy,gz,label
1632,-0.754,0.060,13.273,-4.643,-4.483,5.368,0
1656,-0.697,-0.517,13.362,-4.857,-7.972,1.681,0
1680,-0.409,-0.077,13.329,-0.246,2.540,-0.654,0
1704,-0.781,-0.120,13.326,6.044,-14.392,1.536,0
1728,-0.678,-0.237,12.881,10.601,-3.621,-2.029,0
1752,-0.330,0.306,12.871,9.685,-7.262,0.315,0
1776,-0.129,0.005,13.276,6.166,-23.476,-0.784,0
1800,-0.247,0.110,13.594,8.769,-16.369,-3.479,0
1824,-0.467,0.065,13.340,11.128,-20.346,-1.235,0
1848,-0.340,0.120,12.713,10.930,-24.758,-4.013,0
1872,-0.460,0.436,12.536,9.968,-16.499,-2.357,0
1896,-0.002,0.053,12.397,5.647,-20.842,3.445,0
1920,-0.022,0.378,13.096,11.113,-17.819,6.231,0
1944,0.036,0.235,12.823,13.907,-6.102,6.384,0
1968,-0.060,0.180,11.775,12.159,11.761,1.475,0
1992,0.031,0.431,12.134,6.090,1.494,1.811,0
2016,-0.357,0.409,12.910,-4.612,5.402,-2.128,0
2040,-0.292,0.218,11.971,-5.658,-5.506,2.239,0
2064,-0.048,0.103,12.134,-5.208,-0.934,2.857,0
2088,-0.259,0.201,12.603,-10.055,14.341,-3.395,0
2112,-0.285,0.113,12.582,-9.658,6.784,1.109,0
2136,-0.761,-0.225,14.068,-0.902,-7.560,4.078,0
2160,-0.136,-0.481,13.640,17.288,-11.384,5.429,0
2184,0.213,0.247,12.548,19.808,4.692,-0.174,0
2208,0.213,0.551,12.433,12.441,5.333,-5.311,0
2232,-0.455,0.656,12.874,8.655,6.906,-6.189,0
2256,-0.208,0.491,12.318,8.372,6.776,-2.815,0
2280,-0.342,0.570,12.009,3.281,15.883,-4.952,0
2304,-0.759,0.627,12.366,-5.185,12.608,-4.334,0
2328,-0.857,0.500,12.840,-10.124,12.158,-0.578,0
2352,-0.385,0.553,13.630,-2.857,19.082,2.521,0
2376,-0.211,0.469,13.180,5.624,17.158,0.552,0
2400,-0.414,0.457,12.541,4.922,13.746,-2.975,0
2424,-0.570,0.491,12.842,2.815,17.738,-2.616,0
2448,-0.441,0.613,12.526,2.510,18.738,-1.464,0
2472,-0.702,0.584,12.639,-6.666,20.692,-2.891,0
2496,-0.721,0.539,12.785,-5.941,19.929,-2.746,0
2520,-0.764,0.462,12.692,-4.124,30.036,-6.013,0
2544,-1.381,0.347,12.529,-8.276,33.478,-7.693,0
2568,-1.554,0.340,12.656,-10.551,22.486,-1.334,0
2592,-1.128,0.268,13.091,-11.582,9.471,1.269,0
2616,-1.252,0.383,13.094,-9.719,13.982,-0.555,0
2640,-1.130,0.261,12.675,-7.483,7.585,1.750,0
2664,-0.982,0.366,12.706,-4.971,11.165,-1.945,0
2688,-1.427,0.321,12.474,-4.902,13.089,-5.891,0
2712,-1.750,0.227,12.646,-9.040,7.082,-0.364,0
2736,-1.595,-0.065,12.761,-12.750,3.646,2.994,0
2760,-1.123,0.225,12.883,-10.131,11.005,1.330,0
2784,-1.487,0.002,12.761,-7.635,7.478,-0.998,0
2808,-1.551,-0.117,12.711,-6.780,3.082,0.697,0
2832,-1.530,0.014,13.029,0.960,14.318,0.941,0
2856,-1.812,0.024,12.785,4.487,19.975,1.727,0
2880,-1.705,-0.074,12.488,-3.200,13.906,2.941,0
2904,-1.915,-0.201,12.582,-9.612,21.830,2.132,0
2928,-2.370,-0.390,12.943,-8.994,20.234,5.849,0
2952,-1.736,-0.103,12.414,-5.238,14.288,5.536,0
2976,-1.800,-0.086,12.708,-11.185,4.891,3.811,0
3000,-2.318,-0.443,12.795,-3.063,28.425,3.094,0
3024,-2.298,-0.101,12.340,-0.070,31.341,0.926,0
3048,-2.370,-0.115,12.902,-6.147,14.730,0.910,0
3072,-2.215,-0.194,12.474,-3.299,23.227,1.346,0
3096,-1.935,0.251,12.380,-3.231,15.685,-0.677,0
3120,-2.258,-0.098,12.282,-8.376,4.013,1.246,0
3144,-2.416,-0.086,12.309,-9.261,13.051,3.658,0
3168,-2.346,0.045,12.922,-12.246,14.196,4.628,0
3192,-2.780,-0.338,12.629,-10.887,11.547,8.819,0
3216,-2.667,-0.239,12.531,-10.055,12.669,11.933,0
3240,-2.818,-0.448,12.359,-10.780,17.967,10.246,0
3264,-3.017,-0.476,12.479,-12.170,17.883,10.200,0
3288,-2.962,-0.508,12.112,-11.979,7.486,11.903,0
3312,-2.813,-0.749,12.431,-9.200,6.051,11.346,0
3336,-2.899,-0.481,12.723,-0.414,12.188,8.941,0
3360,-3.041,-0.510,12.479,3.052,4.662,6.903,0
3384,-3.179,-0.572,12.270,3.021,-2.583,5.918,0
3408,-2.942,-0.678,11.770,3.006,-1.178,4.529,0
3432,-3.043,-0.230,12.251,-0.093,2.196,2.178,0
3456,-2.974,-0.271,12.778,-1.254,0.646,3.704,0
3480,-2.933,-0.599,12.421,1.204,8.494,2.712,0
3504,-2.962,-0.302,12.397,2.052,7.143,0.262,0
3528,-3.067,-0.429,12.354,3.014,6.715,1.277,0
3552,-3.191,-0.218,12.340,2.540,9.326,1.468,0
3576,-3.065,-0.201,12.584,3.472,6.394,1.949,0
3600,-3.139,-0.512,12.340,6.571,11.227,1.292,0
3624,-3.122,-0.266,12.368,7.044,9.265,0.071,0
3648,-3.273,-0.280,12.402,7.586,7.517,-0.677,0
3672,-3.484,-0.431,12.352,8.472,10.188,-1.021,0
3696,-3.587,-0.443,12.656,9.991,20.051,-4.357,0
3720,-3.673,-0.448,12.826,10.685,36.394,-4.464,0
3744,-3.409,-0.043,12.400,10.182,40.372,-3.716,0
3768,-3.670,-0.340,12.062,7.380,37.417,-3.067,0
3792,-4.058,-0.151,12.067,2.861,46.150,1.384,0
3816,-3.754,-0.053,11.645,6.449,42.265,3.124,0
3840,-4.142,0.115,11.653,8.830,47.234,3.521,0
3864,-3.984,0.180,11.360,9.281,32.043,0.758,0
3888,-4.336,0.230,11.037,3.365,34.540,-0.884,0
3912,-4.752,0.510,11.265,8.899,27.914,-0.960,0
3936,-4.767,0.254,11.598,13.159,24.135,-6.097,0
3960,-4.616,0.273,11.940,8.182,18.272,-8.639,0
3984,-4.566,-0.084,11.775,5.663,14.341,-4.838,0
4008,-4.640,0.012,11.511,4.098,8.402,1.086,0
4032,-4.875,0.084,11.497,6.754,4.936,2.178,0
4056,-4.922,0.041,11.744,7.853,4.211,-0.135,0
4080,-4.944,-0.098,12.081,-0.536,2.097,-5.166,0
4104,-4.752,-0.457,11.712,-7.803,3.769,-4.960,0
4128,-4.750,-0.280,11.241,-4.757,5.204,1.338,0
4152,-4.879,-0.031,11.420,-0.628,2.646,3.811,0
4176,-4.997,-0.024,11.693,1.296,2.440,0.055,0
4200,-4.875,-0.136,11.621,-2.108,5.494,-0.372,0
4224,-4.887,-0.139,11.562,-8.612,2.707,0.781,0
4248,-4.899,-0.124,11.516,-9.376,2.410,2.170,0
4272,-4.906,0.113,11.665,-4.979,1.311,3.926,0
4296,-4.997,0.012,11.629,-4.734,10.303,3.628,0
4320,-5.092,0.041,11.593,-7.574,7.799,2.849,0
4344,-4.990,0.069,11.485,-7.299,10.188,3.529,0
4368,-5.040,-0.029,11.404,-3.322,14.898,3.811,0
4392,-5.083,-0.026,11.083,0.701,16.898,5.529,0
4416,-5.370,1.030,11.533,5.937,21.372,3.544,0
4440,-5.404,0.366,11.068,1.243,17.517,-1.555,0
4464,-5.404,0.053,11.059,2.777,21.478,-2.639,0
4488,-5.373,-0.206,11.011,7.510,23.135,-3.189,0
4512,-5.480,0.098,10.953,13.395,23.723,-2.288,0
4536,-5.562,0.062,11.097,17.548,22.540,-0.372,0
4560,-5.667,0.309,10.999,18.456,22.288,0.689,0
4584,-5.662,0.321,10.922,17.609,17.272,1.231,0
4608,-5.662,0.472,10.889,18.082,11.730,3.071,0
4632,-5.741,0.567,11.193,18.434,7.311,4.139,0
4656,-5.753,0.436,11.090,20.075,10.211,4.475,0
4680,-5.710,0.584,10.894,22.762,11.112,5.491,0
4704,-5.816,0.709,11.042,23.746,8.501,5.758,0
4728,-5.914,0.792,10.997,21.579,9.249,5.124,0
4752,-5.971,0.941,10.970,16.785,6.845,3.323,0
4776,-5.890,0.836,10.707,17.426,4.540,3.758,0
4800,-5.971,1.006,10.721,21.166,7.265,5.720,0
4824,-5.933,1.008,10.783,20.991,7.051,6.536,0
4848,-5.990,0.958,10.707,20.204,5.295,6.384,0
4872,-5.909,1.092,10.676,21.640,3.227,6.376,0
4896,-6.057,1.267,10.870,24.212,5.791,7.078,0
4920,-5.962,1.367,10.599,25.525,6.578,7.620,0
4944,-6.067,1.484,10.518,25.235,3.715,8.262,0
4968,-5.986,1.599,10.405,21.968,-1.399,8.987,0
4992,-5.950,1.709,10.578,18.746,-8.247,8.643,0
5016,-6.026,1.817,10.834,19.525,-4.972,9.010,0
5040,-5.940,1.707,10.432,21.121,0.059,8.750,0
5064,-5.940,1.932,10.420,21.533,-4.315,9.048,0
5088,-5.981,2.059,10.702,19.945,-6.781,8.689,0
5112,-5.904,2.097,10.642,18.540,-3.346,7.758,0
5136,-5.904,2.279,10.573,19.479,-3.071,7.361,0
5160,-5.854,2.315,10.647,19.014,-3.850,6.575,0
5184,-5.693,2.346,10.400,19.739,-6.682,6.132,0
5208,-5.794,2.444,10.403,18.319,-6.308,6.124,0
5232,-5.770,2.617,10.594,16.342,-10.079,5.475,0
5256,-5.701,2.547,10.649,16.960,-8.857,5.384,0
5280,-5.696,2.562,10.451,18.075,-9.293,5.529,0
5304,-5.590,2.732,10.420,15.937,-17.247,5.307,0
5328,-5.547,2.878,10.688,14.678,-22.430,6.010,0
5352,-5.387,2.914,10.585,14.746,-21.720,7.078,0
5376,-5.533,2.863,10.671,11.365,-27.926,6.498,0
5400,-5.306,3.014,10.637,9.143,-35.178,8.620,0
5424,-5.205,2.926,10.831,8.708,-23.613,10.910,0
5448,-4.855,3.053,10.453,8.159,-29.583,11.353,0
5472,-5.021,2.966,10.633,5.090,-28.399,10.262,0
5496,-4.946,3.062,10.934,1.892,-29.094,9.010,0
5520,-4.745,3.187,10.946,0.189,-25.651,8.185,0
5544,-4.626,3.127,10.922,-1.597,-34.728,7.559,0
5568,-4.499,3.021,10.874,-3.322,-33.293,6.926,0
5592,-4.614,3.091,11.461,-3.116,-28.270,7.254,0
5616,-4.420,3.151,11.042,-2.475,-28.086,7.292,0
5640,-4.214,2.717,11.073,-3.528,-32.621,9.567,0
5664,-4.183,3.323,11.207,-5.612,-45.728,8.208,0
5688,-3.886,3.029,11.363,-10.673,-35.804,6.384,0
5712,-3.768,3.148,11.631,-12.796,-36.033,6.292,0
5736,-3.400,3.096,11.279,-17.879,-45.002,5.651,0
5760,-3.287,2.866,12.151,-24.200,-46.987,8.895,0
5784,-3.108,2.959,12.222,-24.948,-54.491,10.887,0
5808,-3.132,2.974,12.172,-37.040,-41.155,12.506,0
5832,-3.182,2.653,11.720,-43.223,-40.796,10.651,0
5856,-3.024,2.523,11.940,-31.635,-29.644,4.887,0
5880,-2.737,2.622,12.148,-20.269,-13.140,-1.448,0
5904,-2.825,2.421,11.923,-13.040,-9.567,-5.090,0
5928,-2.665,2.294,12.306,-8.727,-8.957,-7.929,0
5952,-2.531,2.389,12.395,-17.505,-8.926,-4.235,0
5976,-2.698,2.033,12.079,-28.399,-13.308,-0.670,0
6000,-2.523,1.906,12.136,-32.895,-16.056,-1.212,0
6024,-2.409,2.009,12.364,-26.147,-14.315,-1.143,0
6048,-2.614,1.571,12.230,-13.421,-9.125,-0.532,0
6072,-2.447,1.633,12.457,-12.215,-8.812,-2.166,0
6096,-2.174,1.894,12.656,-24.330,-16.865,-3.425,0
6120,-2.011,1.559,12.603,-28.712,-17.842,1.124,0
6144,-2.172,1.113,12.206,-19.002,-12.598,2.643,0
6168,-2.057,1.532,12.625,-12.322,-17.247,3.620,0
6192,-2.100,1.767,12.752,-14.979,-13.369,3.284,0
6216,-2.148,1.185,12.426,-17.803,-11.888,-1.738,0
6240,-1.903,1.233,12.811,-22.116,-18.773,-4.059,0
6264,-1.765,1.322,12.498,-30.490,-19.224,-1.029,0
6288,-2.018,0.917,12.510,-34.063,-22.346,-1.960,0
6312,-1.530,0.764,12.495,-39.299,-23.125,-4.632,0
6336,-1.525,0.678,12.402,-43.826,-24.712,1.300,0
6360,-1.599,0.321,12.519,-36.719,-20.468,0.872,0
6384,-1.214,0.431,12.720,-26.559,-16.346,-1.746,0
6408,-1.255,0.271,12.900,-29.101,-17.079,-0.479,0
6432,-1.195,-0.024,12.814,-35.826,-15.018,2.300,0
6456,-1.140,-0.048,12.842,-37.727,-13.499,5.643,0
6480,-1.073,0.089,12.898,-37.078,-13.094,5.697,0
6504,-1.221,-0.314,12.912,-27.948,-10.949,3.063,0
6528,-0.962,-0.364,12.986,-15.528,-3.888,0.033,0
6552,-0.946,-0.347,13.089,-17.597,-6.705,3.315,0
6576,-1.118,-0.472,12.795,-24.498,-7.606,6.414,0
6600,-1.125,-0.553,12.594,-27.170,-11.751,6.720,0
6624,-1.125,-0.654,12.524,-23.727,-12.109,5.323,0
6648,-1.149,-0.694,12.270,-10.437,-6.384,1.109,0
6672,-1.075,-0.792,12.471,3.151,-5.903,-2.448,0
6696,-0.350,-0.883,12.886,8.052,-8.399,-0.403,0
6720,-0.802,-0.498,13.185,7.380,-26.415,9.170,0
6744,-0.493,-0.596,12.807,8.403,-15.812,7.048,0
6768,-0.539,-0.606,12.752,14.975,-17.804,7.651,0
6792,-0.596,-0.510,12.546,22.746,-14.109,8.949,0
6816,-0.532,-0.508,12.505,29.281,-15.193,8.590,0
6840,-0.266,0.127,13.075,26.861,-21.346,11.582,0
6864,-0.357,0.081,12.826,21.632,-19.720,9.971,0
6888,-0.199,-0.146,12.617,22.601,-20.705,7.216,0
6912,-0.124,-0.072,12.785,24.525,-23.399,10.040,0
6936,-0.057,0.115,12.881,23.594,-25.827,10.949,0
6960,0.022,-0.012,12.831,23.380,-24.018,10.094,0
6984,0.156,0.271,12.981,20.670,-24.522,12.300,0
7008,0.192,0.273,12.783,16.914,-24.033,15.292,0
7032,0.124,0.627,12.895,14.907,-24.460,15.216,0
7056,0.271,0.632,12.826,10.479,-23.010,10.666,0
7080,0.366,0.412,12.761,10.418,-23.331,8.147,0
7104,0.543,0.414,12.735,14.082,-21.018,7.231,0
7128,0.560,0.651,12.876,12.808,-21.712,6.796,0
