time,ax,ay,az,gx,gy,gz,label
1632,-0.534,-0.055,12.878,-0.005,0.040,-0.047,0
1656,-0.563,0.012,12.888,0.034,0.063,-0.040,0
1680,-0.555,-0.022,12.847,0.247,-0.746,0.090,0
1704,-0.508,-0.007,12.826,0.209,-0.784,-0.017,0
1728,-0.599,-0.010,12.852,0.392,-1.380,0.037,0
1752,-0.515,-0.026,12.845,0.606,-2.486,0.098,0
1776,-0.541,0.002,12.792,0.446,-1.296,0.021,0
1800,-0.522,0.007,12.831,0.270,-1.074,0.128,0
1824,-0.503,-0.036,12.816,0.285,-0.952,0.143,0
1848,-0.474,-0.019,12.845,0.705,-2.693,0.006,0
1872,-0.527,-0.007,12.845,0.484,-2.112,0.044,0
1896,-0.453,0.007,12.823,0.766,-3.112,0.044,0
1920,-0.503,-0.005,12.869,0.347,-1.547,0.082,0
1944,-0.469,-0.014,12.763,0.835,-3.525,-0.002,0
1968,-0.455,0.038,12.819,0.721,-3.288,-0.009,0
1992,-0.381,0.000,12.821,0.629,-2.922,0.006,0
2016,-0.445,-0.017,12.787,0.079,-0.899,-0.032,0
2040,-0.388,0.012,12.847,0.415,-2.120,-0.063,0
2064,-0.378,-0.002,12.854,0.705,-2.555,0.059,0
2088,-0.407,0.036,12.809,0.453,-1.578,-0.040,0
2112,-0.381,0.045,12.866,0.095,-1.349,0.014,0
2136,-0.400,0.022,12.835,-0.119,-0.456,-1.101,0
2160,-0.378,0.029,12.864,0.270,-1.089,-0.582,0
2184,-0.417,0.041,12.886,0.285,-1.120,-0.727,0
2208,-0.405,0.065,12.787,0.140,-0.647,-0.589,0
2232,-0.417,0.029,12.799,0.293,-0.647,-0.444,0
2256,-0.407,0.055,12.850,0.003,-0.296,-0.750,0
2280,-0.407,0.038,12.816,0.118,-0.555,-0.864,0
2304,-0.362,-0.005,12.802,0.247,-0.891,-0.238,0
2328,-0.388,0.022,12.850,0.133,-0.143,-0.376,0
2352,-0.333,0.034,12.854,0.026,-0.364,-0.063,0
2376,-0.357,0.053,12.790,0.041,0.193,0.052,0
2400,-0.338,0.019,12.840,-0.142,-0.181,0.052,0
2424,-0.376,0.034,12.797,0.034,-0.601,0.327,0
2448,-0.383,0.034,12.819,0.003,-0.303,0.159,0
2472,-0.359,0.002,12.759,-0.081,-1.021,0.968,0
2496,-0.342,0.029,12.783,-0.058,-0.517,0.739,0
2520,-0.362,0.005,12.866,-0.211,-0.754,0.685,0
2544,-0.366,0.002,12.871,-0.585,-1.983,1.433,0
2568,-0.330,-0.026,12.828,-0.730,-2.425,0.808,0
2592,-0.369,-0.019,12.821,-0.768,-3.448,1.273,0
2616,-0.366,0.012,12.857,-0.524,-3.196,0.861,0
2640,-0.304,0.043,12.905,-0.989,-3.631,0.235,0
2664,-0.227,-0.014,12.811,-1.318,-2.799,0.449,0
2688,-0.261,-0.002,12.802,-1.104,-1.693,0.342,0
2712,-0.278,0.022,12.869,-1.127,-1.761,0.227,0
2736,-0.223,-0.019,12.831,-1.806,-0.914,0.395,0
