modelo,acc_val,prec_val,rec_val,f1_val,acc_test,prec_test,rec_test,f1_test,train_time_s,val_infer_time_s,test_infer_time_s
LogisticRegression,0.9814814814814815,0.9824561403508771,0.9814814814814815,0.9814671814671815,1.0,1.0,1.0,1.0,0.017135400004917756,0.001006999984383583,0.0006477000133600086
KNN,0.9814814814814815,0.9824561403508771,0.9814814814814815,0.9814671814671815,1.0,1.0,1.0,1.0,0.0029609999910462648,1.8418364000099245,0.004008599993539974
RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.22065589998965152,0.010777600022265688,0.008951099996920675
MLP,0.9814814814814815,0.9824561403508771,0.9814814814814815,0.9814671814671815,0.9814814814814815,0.9824561403508771,0.9814814814814815,0.9814671814671815,0.13294690000475384,0.0009359999967273325,0.0007096999906934798
SVM,0.9444444444444444,0.9523809523809524,0.9444444444444445,0.9440559440559441,0.9629629629629629,0.9666666666666667,0.9629629629629629,0.9628482972136223,0.004834199993638322,0.0012489999935496598,0.0026695999840740114
