sample_id,time_ms,temp_c,humidity,ldr_raw,ldr_pct,light_state,mq2_raw,mq2_pct,gas_state,temp_state,label
47,48529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
48,49535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
49,50529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
50,51535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
51,52529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
52,53535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
53,54529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
54,55535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
55,56529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
56,57535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
57,58529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
58,59535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
59,60529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
60,61535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
61,62529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
62,63535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
63,64529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
64,65535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
65,66529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
66,67535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
67,68529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
68,69535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
69,70529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
70,71535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
71,72529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
72,73535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
73,74529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
74,75535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
75,76529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
76,77535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
77,78529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
78,79535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
79,80529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
80,81535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
81,82529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
82,83535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
83,84529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
84,85535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
85,86529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
86,87535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
87,88529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
88,89535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
89,90529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
90,91535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
91,92529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
92,93535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
93,94529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
94,95535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
95,96529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
96,97535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
97,98529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
98,99535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
99,100529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
100,101535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
101,102529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
102,103535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
103,104529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
104,105535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
105,106529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
106,107535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
107,108529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
108,109535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
109,110529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
110,111535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
111,112529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
112,113535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
113,114529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
114,115535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
115,116529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
116,117535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
117,118529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
118,119535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
119,120529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
120,121535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
121,122529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
122,123535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
123,124529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
124,125535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
125,126529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
126,127535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
127,128529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
128,129535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
129,130529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
130,131535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
131,132529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
132,133535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
133,134529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
134,135535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
135,136529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
136,137535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
137,138529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
138,139535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
139,140529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
140,141535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
141,142529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
142,143535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
143,144529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
144,145535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
145,146529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
